card_name,play_to_keep_rate,keep_rate,kept_in_starting_hand,kept_and_played,kept_but_not_played,buy_to_draft_rate,buy_to_draft_1_rate,buy_to_draft_2_rate,buy_to_draft_3_rate,buy_to_draft_4_rate,draft_1_buys,draft_2_buys,draft_3_buys,draft_4_buys,business_contacts_keep_rate,business_network_buy_rate,invention_contest_keep_rate,inventors_guild_buy_rate,draft_1_rate,draft_3_rate,card_buy_through_card_rate
Ironworks,0.8252,0,103,85,18,0.1086,0.3241,0.2869,0.1441,0.055,35,70,112,97,0.011,0.1226,0.0667,0.122,0.0361,0.2596,0.1223
Kelp Farming,0.9361,0,782,732,50,0.969,0.9776,0.9702,0.9243,0.9106,2143,1107,293,112,0.9239,0.96,0.7416,0.9298,0.7232,0.1046,0.9456
Lagrange Observatory,0.918,0,634,582,52,0.8383,0.8891,0.8601,0.7839,0.7071,818,910,555,169,0.6735,0.8136,0.5393,0.8085,0.3098,0.2384,0.8113
Lake Marineris,0.6199,0,392,243,149,0.6223,0.9149,0.8335,0.5984,0.3473,602,651,584,422,0.5213,0.4962,0.3506,0.5159,0.2243,0.3327,0.5058
Land Claim,0.9535,0,43,41,2,0.3295,0.6302,0.4647,0.3227,0.2281,121,250,364,278,0.3981,0.4567,0.1566,0.384,0.0636,0.3735,0.4206
Large Convoy,0.7989,0,726,580,146,0.9419,0.9543,0.9385,0.9082,0.8929,1712,901,356,125,0.8171,0.9508,0.7067,0.9118,0.5878,0.1284,0.9302
Lava Flows,0.9292,0,706,656,50,0.7442,0.8812,0.7879,0.6759,0.4633,905,810,511,221,0.5521,0.5194,0.4697,0.6058,0.3373,0.2483,0.5579
Lava Tube Settlement,0.8616,0,159,137,22,0.4381,0.6955,0.5692,0.3795,0.2215,217,259,222,107,0.3544,0.3465,0.2576,0.3956,0.1254,0.2351,0.3698
Lichen,0.9514,0,617,587,30,0.658,0.847,0.7407,0.609,0.4977,382,660,679,327,0.4845,0.4336,0.2985,0.5,0.1529,0.378,0.4627
Lightning Harvest,0.8759,0,137,120,17,0.3661,0.5698,0.518,0.3539,0.2523,98,259,338,220,0.4141,0.319,0.1772,0.3303,0.0591,0.3282,0.3244
Livestock,0.7103,0,145,103,42,0.4952,0.7475,0.6433,0.4748,0.2868,302,458,519,255,0.5,0.4921,0.3279,0.4444,0.1328,0.3593,0.4691
Local Heat Trapping,0.719,0,121,87,34,0.6161,0.8496,0.7647,0.6073,0.4249,339,533,668,416,0.5248,0.629,0.2329,0.6324,0.1321,0.3642,0.6308
Lunar Beam,0.938,0,516,484,32,0.2942,0.6587,0.4947,0.2669,0.1695,137,233,249,198,0.2316,0.1983,0.1919,0.1,0.0692,0.3105,0.1515
Magnetic Field Dome,0.4286,0,7,3,4,0.1487,0.4151,0.3785,0.2037,0.0884,22,81,154,152,0.2245,0.1545,0.0556,0.1746,0.0178,0.2534,0.1647
Magnetic Field Generators,0.5,0,8,4,4,0.1675,0.4776,0.3883,0.2071,0.0725,64,113,146,102,0.2091,0.144,0.122,0.2115,0.0453,0.2383,0.1747
Mangrove,0.7311,0,528,386,142,0.8775,0.9719,0.9376,0.8545,0.7443,760,1067,1016,652,0.7027,0.8911,0.3896,0.8279,0.2625,0.3991,0.8565
Mars University,0.9921,0,761,755,6,0.9601,0.9738,0.9511,0.8581,0.8193,2412,972,127,68,0.9213,0.8991,0.8831,0.9412,0.8127,0.0486,0.9194
Martian Rails,0.6471,0,17,11,6,0.119,0.5263,0.3568,0.1732,0.0528,40,66,93,82,0.1624,0.1066,0.061,0.1504,0.0255,0.1805,0.1277
Martian Survey,0.9325,0,385,359,26,0.407,0.8432,0.7289,0.5128,0.1207,242,293,260,130,0.3766,0.3711,0.25,0.3301,0.1169,0.2065,0.35
Mass Converter,0.8644,0,693,599,94,0.8177,0.8756,0.8296,0.6436,0.546,1521,852,242,95,0.8077,0.8443,0.6559,0.8362,0.5742,0.1243,0.8403
Media Archives,0.6588,0,296,195,101,0.732,0.9277,0.8693,0.7009,0.5386,436,685,778,461,0.6373,0.8145,0.4176,0.8115,0.1594,0.3764,0.813
Media Group,1.0,0,722,722,0,0.9107,0.9542,0.925,0.7949,0.7359,1667,1085,372,170,0.8596,0.9027,0.7647,0.8462,0.5694,0.1525,0.8739
Medical Lab,0.8977,0,665,597,68,0.8092,0.8705,0.8095,0.6757,0.6299,1230,697,300,97,0.7412,0.7563,0.5139,0.8333,0.4727,0.1485,0.794
Methane From Titan,0.8462,0,494,418,76,0.5543,0.7057,0.5986,0.4446,0.2548,645,513,277,92,0.5045,0.3864,0.3289,0.3784,0.3131,0.2134,0.3827
Micro-Mills,0.987,0,77,76,1,0.0698,0.3636,0.22,0.1216,0.0529,4,11,59,112,0.0682,0.0342,0.0811,0.0248,0.0036,0.157,0.0294
Mine,0.9987,0,786,785,1,0.6083,0.9421,0.8155,0.5738,0.2871,407,495,525,213,0.4762,0.4188,0.2949,0.3934,0.1423,0.3014,0.4059
Mineral Deposit,0.9657,0,728,703,25,0.9005,0.9507,0.914,0.8843,0.8445,559,914,902,402,0.6585,0.8293,0.4138,0.8947,0.1953,0.3388,0.8578
Mining Area,0.9782,0,780,763,17,0.8258,0.9244,0.8465,0.7407,0.6751,917,794,500,268,0.7103,0.7207,0.4578,0.7436,0.3368,0.2292,0.7325
Mining Expedition,0.8828,0,145,128,17,0.3934,0.6025,0.4929,0.3633,0.2342,238,311,352,171,0.3656,0.2868,0.15,0.3889,0.1303,0.3197,0.3333
Mining Rights,0.9987,0,764,763,1,0.8075,0.9311,0.8537,0.6423,0.5344,1040,665,361,163,0.6931,0.6942,0.5556,0.7383,0.3799,0.1912,0.7149
Miranda Resort,0.8788,0,396,348,48,0.613,0.7316,0.6361,0.4662,0.4013,747,500,241,120,0.6637,0.7131,0.3506,0.5714,0.3479,0.1761,0.65
Mohole Area,0.9863,0,730,720,10,0.4669,0.8182,0.6239,0.3308,0.1791,513,428,262,137,0.3118,0.2857,0.2254,0.224,0.2082,0.263,0.2541
Moss,0.9276,0,580,538,42,0.7268,0.8783,0.8097,0.699,0.5726,397,719,799,406,0.5357,0.6116,0.3837,0.6107,0.1518,0.3838,0.6111
Natural Preserve,0.9923,0,778,772,6,0.6443,0.9663,0.9531,0.6524,0.1191,976,650,229,122,0.4568,0.4088,0.3472,0.5408,0.3386,0.1177,0.4638
Nitrite Reducing Bacteria,0.9674,0,92,89,3,0.1203,0.3871,0.2607,0.1591,0.0687,24,61,133,109,0.1782,0.0726,0.0649,0.1468,0.0207,0.2793,0.1073
Nitrogen-Rich Asteroid,0.9447,0,795,751,44,0.965,0.9712,0.9672,0.886,0.8451,2459,914,101,60,0.86,0.9448,0.8,0.8561,0.8531,0.0384,0.9014
Nitrophilic Moss,0.9266,0,640,593,47,0.7434,0.9167,0.8154,0.6472,0.5283,638,786,587,252,0.5446,0.5545,0.4409,0.6204,0.2339,0.3049,0.5885
Noctis City,0.8622,0,762,657,105,0.9046,0.9396,0.9056,0.8539,0.75,1292,739,409,129,0.8,0.9035,0.589,0.9118,0.4606,0.1605,0.9074
Noctis Farming,0.9465,0,542,513,29,0.8525,0.9149,0.8929,0.8382,0.7151,613,950,881,374,0.6436,0.7477,0.4235,0.752,0.2253,0.3534,0.75
Nuclear Power,0.8527,0,353,301,52,0.2498,0.5762,0.4121,0.2684,0.1248,87,197,281,149,0.2967,0.155,0.1136,0.1509,0.0509,0.3532,0.1532
Nuclear Zone,0.9962,0,795,792,3,0.8899,0.9432,0.9192,0.8226,0.6081,1427,1104,422,180,0.6442,0.7563,0.5128,0.7339,0.512,0.1736,0.7456
Olympus Conference,0.9804,0,765,750,15,0.9082,0.9319,0.8975,0.8231,0.7768,1846,849,214,87,0.8256,0.9375,0.6571,0.9184,0.6493,0.0852,0.9292
Open City,0.6461,0,178,115,63,0.6333,0.8578,0.7681,0.5728,0.4219,567,606,618,378,0.547,0.72,0.3077,0.6176,0.2138,0.349,0.6667
Optimal Aerobraking,0.9905,0,739,732,7,0.8805,0.9432,0.9026,0.7388,0.6407,1544,1131,396,148,0.7204,0.8175,0.5323,0.8512,0.5399,0.1768,0.8333
Ore Processor,0.8571,0,119,102,17,0.1474,0.5252,0.3607,0.1721,0.0635,73,110,148,106,0.1364,0.063,0.0538,0.1271,0.0459,0.2842,0.0939
Permafrost extraction,0.7702,0,161,124,37,0.5396,0.8442,0.7466,0.5918,0.3214,325,495,622,457,0.3246,0.3694,0.2632,0.4375,0.1306,0.3564,0.4059
Peroxide Power,0.8926,0,568,507,61,0.4001,0.7397,0.5453,0.4045,0.2272,179,349,445,239,0.234,0.32,0.2,0.2523,0.0814,0.37,0.2881
