card_name,play_to_keep_rate,keep_rate,kept_in_starting_hand,kept_and_played,kept_but_not_played,buy_to_draft_rate,buy_to_draft_1_rate,buy_to_draft_2_rate,buy_to_draft_3_rate,buy_to_draft_4_rate,draft_1_buys,draft_2_buys,draft_3_buys,draft_4_buys,business_contacts_keep_rate,business_network_buy_rate,invention_contest_keep_rate,inventors_guild_buy_rate,draft_1_rate,draft_3_rate,card_buy_through_card_rate
Acquired Company,0.9987,0,772,771,1,0.4854,0.8799,0.6756,0.3988,0.1778,381,352,272,122,0.4112,0.2769,0.2169,0.3051,0.1442,0.2272,0.2903
Adaptation Technology,0.8271,0,214,177,37,0.4586,0.7,0.5819,0.4358,0.2584,238,430,472,193,0.3636,0.3913,0.1765,0.3039,0.1104,0.3517,0.3502
Adapted Lichen,0.9564,0,367,351,16,0.3463,0.6368,0.5316,0.3498,0.1771,135,261,326,164,0.3152,0.1622,0.1528,0.2233,0.0733,0.3222,0.1916
Advanced Alloys,0.9817,0,765,751,14,0.7819,0.8431,0.7223,0.4752,0.5393,1591,411,96,48,0.7928,0.791,0.5208,0.8017,0.646,0.0692,0.7961
Advanced Ecosystems,0.607,0,626,380,246,0.9518,0.9609,0.9623,0.94,0.8857,1328,1277,705,279,0.9048,0.9265,0.75,0.9292,0.4757,0.2582,0.9277
Aerobraked Ammonia Asteroid,0.9043,0,115,104,11,0.1315,0.3625,0.3203,0.1557,0.0727,29,90,118,111,0.0763,0.0893,0.0532,0.0924,0.0274,0.2592,0.0909
AI Central,0.928,0,750,696,54,0.838,0.8793,0.79,0.4327,0.3623,2186,459,45,25,0.8614,0.8362,0.7733,0.8455,0.8373,0.035,0.8407
Algae,0.921,0,747,688,59,0.9079,0.9534,0.9254,0.8533,0.8164,1105,1142,640,298,0.7547,0.8658,0.5529,0.8273,0.3979,0.2575,0.8494
Anti-Gravity Technology,0.773,0,727,562,165,0.809,0.8501,0.8015,0.6326,0.4275,1974,626,136,59,0.7857,0.8731,0.7059,0.8866,0.7578,0.0702,0.8788
Ants,0.4783,0,92,44,48,0.2423,0.5298,0.3494,0.2332,0.1311,160,218,240,170,0.3039,0.2192,0.1013,0.1856,0.0995,0.339,0.2058
Aquifer Pumping,0.8678,0,121,105,16,0.108,0.5376,0.3462,0.1416,0.0515,50,63,79,93,0.0505,0.0583,0.037,0.049,0.0312,0.1872,0.0541
Archaebacteria,0.9801,0,654,641,13,0.4191,0.8638,0.8024,0.5974,0.1502,203,337,457,225,0.2255,0.2231,0.1474,0.2389,0.0774,0.252,0.2305
Arctic Algae,0.9975,0,786,784,2,0.6933,0.9798,0.9109,0.4802,0.1344,1359,675,170,116,0.4894,0.5405,0.5915,0.5169,0.4659,0.1189,0.5284
Artificial Lake,0.6774,0,31,21,10,0.3628,0.7219,0.6393,0.3455,0.197,231,319,360,279,0.4066,0.3,0.2198,0.2937,0.1027,0.3344,0.2967
Artificial Photosynthesis,0.8851,0,644,570,74,0.552,0.781,0.6569,0.4613,0.2947,428,584,447,150,0.4381,0.4483,0.3187,0.3187,0.1836,0.3246,0.3913
Asteroid,0.9786,0,700,685,15,0.9277,0.9625,0.9434,0.8604,0.8127,1334,1101,493,204,0.7556,0.8537,0.5789,0.9024,0.4765,0.197,0.878
Asteroid Mining,0.9836,0,611,601,10,0.5081,0.66,0.5476,0.2758,0.1949,693,322,115,54,0.4554,0.4776,0.359,0.4032,0.3561,0.1414,0.4419
Asteroid Mining Consortium,0.7965,0,629,501,128,0.6475,0.8628,0.6285,0.3333,0.1988,1094,340,123,65,0.6538,0.5603,0.3623,0.5,0.4285,0.1247,0.5263
Beam From a Thorium Asteroid,0.8314,0,350,291,59,0.2953,0.4989,0.4073,0.255,0.12,224,233,180,87,0.2405,0.2353,0.1067,0.1593,0.1492,0.2346,0.2008
Big Asteroid,0.9529,0,785,748,37,0.9145,0.9534,0.9253,0.7771,0.6194,1942,942,258,96,0.8362,0.8,0.6765,0.8596,0.6663,0.1086,0.8285
Biomass Combustors,0.6429,0,224,144,80,0.4134,0.7285,0.5986,0.404,0.2602,220,343,467,325,0.3441,0.3934,0.1839,0.2959,0.0996,0.3811,0.35
Birds,0.6478,0,477,309,168,0.8498,0.9306,0.8937,0.8018,0.69,979,891,712,385,0.7073,0.8372,0.4545,0.7786,0.3552,0.2998,0.8077
Black Polar Dust,0.9171,0,374,343,31,0.2923,0.6904,0.5124,0.3022,0.1465,136,247,288,195,0.25,0.1311,0.2069,0.1488,0.0643,0.3109,0.1399
Breathing Filters,0.5974,0,77,46,31,0.5014,0.7739,0.6548,0.4908,0.2988,291,404,482,277,0.5543,0.4907,0.2564,0.582,0.1248,0.326,0.5391
Bribed Committee,0.9926,0,676,671,5,0.4339,0.8353,0.6622,0.4666,0.2158,208,349,433,249,0.37,0.4,0.1529,0.3107,0.0834,0.3108,0.3587
Building Industries,0.9834,0,663,652,11,0.5696,0.8774,0.7349,0.4922,0.2788,458,510,411,203,0.4609,0.4112,0.2525,0.4272,0.176,0.2815,0.419
Bushes,0.9532,0,748,713,35,0.9206,0.9583,0.9439,0.8834,0.813,1056,1144,697,313,0.7105,0.8879,0.4648,0.8855,0.3723,0.2666,0.8866
Business Contacts,0.9838,0,740,728,12,0.9136,0.9427,0.93,0.8455,0.8147,1349,1102,509,189,0.0,0.913,0.6889,0.9535,0.4689,0.1972,0.9344
Business Network,0.9798,0,693,679,14,0.7508,0.8684,0.8023,0.6159,0.4774,1010,893,449,169,0.6939,0,0.5479,0.5656,0.3917,0.2455,0.5656
Callisto Penal Mines,0.8996,0,259,233,26,0.408,0.5678,0.5133,0.3151,0.1894,356,308,190,93,0.3431,0.4015,0.2208,0.3254,0.2073,0.1994,0.365
Capital,0.7892,0,166,131,35,0.5239,0.7389,0.5818,0.4241,0.3133,501,391,335,156,0.5096,0.5312,0.3582,0.4806,0.2254,0.2626,0.5058
Carbonate Processing,0.9342,0,486,454,32,0.3351,0.7056,0.5423,0.3621,0.1734,127,250,365,203,0.22,0.24,0.1127,0.1636,0.0604,0.3381,0.2043
Caretaker Contract,0,0,0,0,0,0.0927,0.4667,0.3596,0.1859,0.0423,21,64,92,93,0.1593,0.1453,0.0649,0.0932,0.015,0.1648,0.1191
Cartel,0.8909,0,550,490,60,0.5751,0.7583,0.6558,0.4689,0.301,643,501,339,155,0.5155,0.6833,0.3494,0.5583,0.2773,0.2364,0.6208
CEO's Favourite Project,0.6364,0,66,42,24,0.523,0.8192,0.692,0.5468,0.3673,213,391,631,472,0.4205,0.5887,0.2468,0.6752,0.086,0.3816,0.6307
Cloud Seeding,0.6667,0,102,68,34,0.2355,0.5808,0.4057,0.2081,0.1152,115,185,180,117,0.1368,0.1215,0.0674,0.1193,0.0666,0.2909,0.1204
Colonizer Training Camp,0.8973,0,331,297,34,0.3921,0.7262,0.6619,0.4387,0.1274,297,327,265,144,0.2258,0.2787,0.1212,0.3983,0.138,0.2038,0.3375
Comet,0.971,0,758,736,22,0.8816,0.9399,0.8901,0.7724,0.6179,1596,972,370,131,0.7798,0.7623,0.5479,0.748,0.5502,0.1552,0.7551
Commercial District,0.914,0,430,393,37,0.5922,0.7849,0.6252,0.4769,0.3717,573,492,341,142,0.4393,0.5714,0.3448,0.5606,0.2488,0.2437,0.5657
Convoy From Europa,0.9828,0,696,684,12,0.818,0.9015,0.8686,0.7514,0.5526,906,866,529,184,0.56,0.7287,0.4512,0.7184,0.3286,0.2302,0.7241
Corporate Stronghold,0.9419,0,241,227,14,0.3564,0.6122,0.4615,0.3671,0.203,180,258,344,192,0.2857,0.2202,0.2055,0.3246,0.0998,0.3182,0.2735
Cupola City,0.9321,0,619,577,42,0.7033,0.8808,0.8211,0.6607,0.2331,842,629,370,117,0.4563,0.5954,0.3875,0.5686,0.3206,0.1878,0.5837
Decomposers,0.9595,0,692,664,28,0.9088,0.9535,0.9335,0.8845,0.795,964,1319,911,384,0.77,0.8678,0.5,0.9052,0.3358,0.3421,0.8861
Deep Well Heating,0.9187,0,443,407,36,0.523,0.7473,0.6373,0.4872,0.323,278,455,493,208,0.4206,0.2955,0.2714,0.2844,0.1223,0.3328,0.2905
Deimos Down,0.9309,0,753,701,52,0.9168,0.9538,0.9214,0.6591,0.5789,2229,785,116,77,0.78,0.8,0.74,0.8519,0.7944,0.0598,0.8259
Designed Microorganisms,0.9649,0,683,659,24,0.452,0.8393,0.7368,0.4624,0.0994,449,392,246,103,0.2527,0.2443,0.236,0.2439,0.1803,0.1792,0.2441
Development Center,0.9746,0,747,728,19,0.8011,0.9054,0.807,0.5807,0.4589,1417,811,259,95,0.7228,0.6929,0.5417,0.6923,0.5255,0.1498,0.6926
Domed Crater,0.8878,0,606,538,68,0.5954,0.8549,0.7791,0.513,0.1683,719,522,257,119,0.4857,0.4065,0.4314,0.4143,0.2884,0.1718,0.4106
Dust Seals,0.9492,0,59,56,3,0.1232,0.6667,0.5211,0.3094,0.0746,10,37,129,175,0.123,0.064,0.0426,0.0438,0.0051,0.1407,0.0534
Earth Catapult,1.0,0,790,790,0,0.8858,0.9209,0.8229,0.5455,0.4844,2376,409,54,31,0.8646,0.8347,0.7895,0.8163,0.8382,0.0322,0.8265
Earth Office,0.9868,0,833,822,11,0.8633,0.9455,0.901,0.786,0.7465,816,974,639,318,0.7184,0.8718,0.6111,0.8397,0.2909,0.274,0.8548
Ecological Zone,0.9576,0,754,722,32,0.9696,0.9812,0.9716,0.9176,0.9195,2038,1163,334,137,0.8351,0.9008,0.7831,0.9174,0.6837,0.1198,0.9091
Electro Catapult,0.9594,0,714,685,29,0.6004,0.8432,0.7338,0.4664,0.1506,898,463,201,95,0.5326,0.4643,0.4301,0.5076,0.36,0.1457,0.4877
Energy Saving,0.5714,0,7,4,3,0.0795,0.413,0.2722,0.1109,0.0401,19,49,66,70,0.1735,0.0909,0.0588,0.0748,0.0154,0.1993,0.0833
Energy Tapping,0.8748,0,703,615,88,0.4768,0.7873,0.6315,0.443,0.2661,311,509,474,268,0.4302,0.3884,0.1622,0.3937,0.133,0.3603,0.3911
Eos Chasma National Park,0.7549,0,204,154,50,0.7023,0.887,0.8041,0.6543,0.5193,510,628,725,376,0.5474,0.6613,0.3133,0.6055,0.191,0.3681,0.6352
Equatorial Magnetizer,0.8333,0,6,5,1,0.1232,0.4154,0.2775,0.1809,0.0712,27,63,140,135,0.1717,0.1022,0.0694,0.1414,0.0211,0.2508,0.1186
Extreme-Cold Fungus,0.7519,0,129,97,32,0.174,0.5414,0.3811,0.1919,0.0766,85,133,147,113,0.1569,0.0956,0.0143,0.1071,0.052,0.2536,0.1008
Farming,0.7177,0,333,239,94,0.7355,0.9262,0.847,0.6889,0.516,602,692,693,402,0.5895,0.6861,0.3452,0.7094,0.2226,0.3445,0.6969
Fish,0.7495,0,487,365,122,0.8589,0.9442,0.9258,0.8181,0.7055,779,911,814,436,0.6667,0.7815,0.4865,0.7868,0.2776,0.3348,0.7843
Flooding,0.978,0,728,712,16,0.7013,0.8671,0.7988,0.6939,0.4727,535,806,714,399,0.4727,0.575,0.2949,0.6018,0.2087,0.3481,0.588
Food Factory,0.9706,0,34,33,1,0.1506,0.4458,0.3592,0.1907,0.0749,37,88,140,105,0.1698,0.1069,0.0727,0.1042,0.028,0.2478,0.1057
Fueled Generators,0.8851,0,583,516,67,0.4121,0.7005,0.5609,0.4416,0.2564,152,341,537,311,0.2871,0.3125,0.1667,0.2137,0.0714,0.4,0.2682
Fuel Factory,0.9674,0,737,713,24,0.5144,0.869,0.697,0.4321,0.2402,345,398,334,159,0.4186,0.3917,0.3067,0.4248,0.1317,0.2565,0.4077
Fusion Power,0.817,0,306,250,56,0.4231,0.682,0.5839,0.3786,0.249,208,355,379,189,0.4068,0.3095,0.2308,0.2647,0.1031,0.3383,0.2863
Ganymede Colony,0.5663,0,415,235,180,0.5151,0.6222,0.5501,0.3271,0.1579,845,357,141,39,0.5941,0.4634,0.3614,0.5463,0.4527,0.1437,0.5022
Gene Repair,0.8797,0,374,329,45,0.7384,0.8549,0.7439,0.6791,0.5714,695,703,529,184,0.6727,0.6992,0.4831,0.6983,0.2616,0.2506,0.6988
