card_name,total_games_analyzed,total_games_with_card,draw,draw_ai_central,draw_business_contacts_keep,draw_business_network_buy,draw_convoy_from_europa,draw_development_center,draw_draft_buy,draw_invention_contest_keep,draw_inventors_guild_buy,draw_inventrix,draw_lagrange_observatory,draw_large_convoy,draw_mars_university,draw_martian_survey,draw_olympus_conference,draw_placement,draw_placement_23_Ascraeus,draw_placement_58,draw_placement_61,draw_placement_68,draw_placement_82,draw_point_luna,draw_prelude,draw_prelude_biolabs,draw_prelude_io_research_outpost,draw_prelude_research_network,draw_prelude_unmi_contractor,draw_research,draw_restricted_area,draw_reveal_plant_tag,draw_reveal_space_tag,draw_sf_memorial,draw_start,draw_technology_demonstration,business_contacts_draw,business_network_draw,draft_1,draft_2,draft_3,draft_4,draft_unknown,invention_contest_draw,inventors_guild_draw,research_draft_drafted,research_draft_not_drafted,reveal,reveal_microbe,reveal_plant,reveal_space,other,other_activate,other_activation_effect,other_add_animal,other_add_microbe,other_add_science,other_copy_production_box,other_immediate_effect,other_move_resource,other_opponent_play,other_place_card,other_place_city,other_place_gain,other_place_lava_and_ocean,other_remove_animal,other_remove_microbe,other_remove_science,other_scoring,other_starting_hand,other_takeback,other_takeback_buy,other_takeback_draft,other_takeback_start,other_takeback_undo,other_triggered_effect
Arctic Algae,16707,7127,0,215,46,60,15,102,2319,42,61,11,32,33,168,11,87,0,27,26,25,22,85,35,0,5,2,15,4,53,144,116,0,7,786,43,94,111,1387,741,354,863,0,71,118,1739,1238,0,33,0,52,0,0,0,0,0,0,0,450,0,1,0,0,0,0,0,0,0,0,4,0,33,29,21,0,38305
Artificial Lake,16707,6826,0,184,37,36,17,94,1189,20,37,11,27,36,155,15,71,0,27,25,30,14,91,51,0,9,3,10,8,38,144,0,0,15,31,63,91,120,320,499,1042,1416,0,91,126,1361,1755,0,24,120,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,14,33,3,0,0
Artificial Photosynthesis,16707,6790,1,188,46,52,23,107,1609,29,29,8,18,41,170,14,78,0,32,26,20,35,95,33,0,7,3,9,7,44,141,0,0,9,644,50,105,116,548,889,969,509,0,91,91,1515,1470,0,29,121,54,0,0,0,0,0,0,0,1214,0,1,0,0,0,0,0,0,0,0,9,0,28,39,31,0,0
Asteroid,16707,6764,0,180,68,105,29,105,3133,44,111,9,18,42,160,12,78,0,29,28,20,26,70,47,0,11,1,14,3,39,143,0,63,13,700,37,90,123,1386,1167,573,251,0,76,123,1959,950,0,27,120,0,0,0,0,0,0,0,0,4173,0,0,0,0,0,0,0,0,0,0,11,0,38,29,22,0,0
Asteroid Mining,16707,6246,0,210,46,64,22,115,1185,28,50,12,17,26,152,14,82,0,28,20,25,17,84,59,0,7,2,16,13,41,130,0,57,12,611,53,101,134,1050,588,417,277,1,78,124,1467,1482,0,28,141,0,0,0,0,0,0,0,0,453,0,2,0,0,0,0,0,0,0,0,3,0,23,28,26,0,0
Asteroid Mining Consortium,16707,6228,0,186,68,65,13,107,1622,25,75,13,20,33,130,14,77,1,34,27,19,31,86,45,0,8,3,17,8,42,149,0,0,16,629,43,104,116,1268,541,369,327,0,69,150,1637,1322,0,27,122,60,0,0,0,0,0,0,0,1714,0,1,0,0,0,0,0,0,0,0,3,0,16,33,30,0,0
Beam From a Thorium Asteroid,16707,6388,0,212,19,32,19,123,724,8,18,5,13,32,164,13,62,0,28,25,22,21,78,50,0,8,1,20,5,37,134,0,54,12,350,46,79,136,449,572,706,725,0,75,113,1155,1855,0,30,115,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,10,0,10,23,14,0,0
Big Asteroid,16707,6809,0,229,97,100,25,115,3239,46,98,10,18,24,166,10,71,0,25,23,20,20,89,50,0,9,3,16,8,34,132,0,50,10,785,58,116,125,2037,1018,332,155,2,68,114,2369,688,0,37,117,0,0,0,0,0,0,0,0,4017,0,0,0,0,0,0,0,0,0,0,7,0,39,23,30,0,0
Biomass Combustors,16707,6852,0,200,32,48,21,105,1356,16,29,11,24,39,175,17,81,0,32,20,21,24,84,44,0,8,4,20,3,45,133,0,0,12,224,64,93,122,302,573,1156,1249,0,87,98,1457,1576,0,25,104,61,0,0,0,0,0,0,96,788,0,1,0,0,0,0,0,0,0,0,8,0,17,24,10,0,0
Birds,16707,6828,0,204,87,108,15,124,2970,35,102,6,21,39,160,17,70,0,29,22,25,22,91,34,0,3,1,14,7,48,150,0,0,8,477,57,123,129,1052,997,888,558,0,77,131,1939,1023,0,30,120,55,0,6191,0,3376,0,0,0,1276,227,2,0,0,0,0,408,0,0,2514,6,0,29,33,17,0,0
Black Polar Dust,16707,7034,0,211,23,16,22,121,866,18,18,9,18,33,161,13,77,0,32,17,23,13,73,45,0,10,2,13,8,48,134,0,0,13,374,57,92,122,197,482,953,1331,0,87,121,1147,1918,0,33,119,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,37,12,0,0
Breathing Filters,16707,6342,0,191,51,53,27,100,1455,20,71,6,20,35,153,15,74,0,27,15,15,27,99,53,0,7,3,7,8,35,140,0,0,12,77,39,92,108,376,617,982,927,0,78,122,1356,1656,0,27,110,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,17,2,0,0
Bribed Committee,16707,7088,0,194,37,48,12,100,1240,13,32,15,24,29,158,15,68,0,38,31,21,29,75,46,0,4,3,12,2,40,138,0,0,9,676,45,100,120,249,527,928,1154,0,85,103,1176,1810,0,33,130,64,0,0,0,0,0,0,0,502,0,2,0,0,0,0,0,0,0,0,8,0,11,33,22,0,0
Building Industries,16707,6907,0,202,53,44,21,107,1583,25,44,11,27,41,188,22,69,0,29,20,26,19,89,52,0,12,1,8,5,47,162,0,0,13,663,45,115,107,522,694,835,728,0,99,103,1357,1609,0,20,140,55,0,0,0,0,0,0,31,43,0,0,0,0,0,0,0,0,0,0,8,0,20,22,30,0,0
Bushes,16707,7124,0,232,81,95,18,114,3211,33,116,4,18,49,158,17,77,0,25,31,19,26,89,47,0,11,3,22,6,48,122,128,0,7,748,53,114,107,1102,1212,789,385,0,71,131,1889,1071,0,20,0,55,0,0,0,0,0,0,0,1502,0,3,0,0,0,0,0,0,0,0,2,0,40,38,31,0,0
Business Contacts,16707,6917,0,220,0,105,23,103,3152,62,123,7,20,47,143,7,76,0,26,31,28,24,88,37,0,8,2,11,5,49,151,0,0,5,740,51,4,115,1431,1185,602,232,0,90,129,2031,1021,0,24,138,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27,30,29,0,0
Business Network,16707,6784,0,195,68,0,21,108,2522,40,69,7,20,36,160,19,79,0,25,27,32,32,91,44,0,8,1,10,10,37,131,0,0,15,693,43,98,0,1163,1113,729,354,0,73,122,1891,1078,0,31,118,60,0,26307,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,9,0,25,21,15,0,0
Callisto Penal Mines,16707,6213,0,200,35,55,31,105,947,17,41,5,18,37,177,12,84,0,21,26,11,22,70,50,0,8,3,12,9,48,156,0,64,10,259,51,102,137,627,600,603,491,0,77,126,1229,1795,0,26,141,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,9,0,11,32,10,0,0
Capital,16707,6133,0,166,53,68,17,115,1382,24,62,8,12,47,164,13,68,0,28,27,28,31,99,36,0,9,4,12,8,42,156,0,0,12,166,48,104,128,678,672,790,498,0,67,129,1465,1543,0,27,128,58,0,0,0,0,0,0,11,208,0,1,2140,0,617,0,0,0,0,1978,8,0,15,26,14,0,0
Carbonate Processing,16707,6872,0,211,22,30,28,125,945,8,18,11,23,40,138,11,60,0,29,27,25,31,97,63,0,17,1,16,2,48,141,0,0,9,486,38,100,125,180,461,1008,1171,0,71,110,1187,1794,0,21,108,52,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,7,0,10,19,18,0,0
Caretaker Contract,16707,7165,0,192,18,17,31,119,270,5,11,8,20,36,168,19,73,0,21,25,17,16,79,34,0,10,1,23,2,34,138,0,0,7,0,59,113,117,45,178,495,2196,0,77,118,539,2464,1,26,127,80,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,10,0,0,0
Cartel,16707,6667,0,213,50,82,17,107,1639,29,67,12,18,43,163,14,68,0,35,17,18,20,98,42,0,10,2,15,8,38,154,0,0,8,550,54,97,120,848,764,723,515,0,83,120,1569,1489,0,19,112,54,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,6,0,12,32,24,0,0
CEO's Favourite Project,16707,6719,0,197,37,73,26,113,1707,19,79,10,20,33,179,18,64,0,28,25,25,17,87,47,0,8,4,21,9,37,135,0,0,17,66,43,88,124,260,565,1154,1285,0,77,117,1411,1613,0,27,135,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,20,3,0,0
Cloud Seeding,16707,6309,0,197,13,13,16,107,597,6,13,6,24,25,160,14,72,0,28,28,34,29,85,46,0,10,3,14,4,51,144,0,0,13,102,49,95,107,198,456,865,1016,0,89,109,1063,1911,0,30,125,50,0,0,0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,5,0,11,28,7,0,0
Colonizer Training Camp,16707,6653,0,209,21,34,19,109,1034,8,47,14,15,46,164,18,82,0,31,24,19,12,75,54,0,9,2,9,3,35,130,0,0,9,331,58,93,122,409,494,604,1130,0,66,118,1012,1952,0,18,109,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,10,16,0,0
Comet,16707,7005,0,220,85,93,19,117,3069,40,92,8,18,42,152,25,85,0,47,25,20,35,94,57,0,8,4,14,9,33,149,0,53,15,758,52,109,122,1698,1092,479,212,0,73,123,2175,911,0,29,100,0,0,0,0,0,0,0,0,1371,0,2,0,0,0,0,0,0,0,0,3,0,27,28,22,0,0
Commercial District,16707,6401,0,206,47,68,18,123,1548,30,74,10,11,36,184,18,95,0,27,22,36,26,76,49,0,7,1,14,9,46,127,0,0,9,430,54,107,119,730,787,715,382,0,87,132,1444,1490,0,18,141,60,0,0,0,0,0,0,39,203,0,1,2702,0,59,0,0,0,0,2204,11,0,17,21,11,0,0
