card_name,total_games_analyzed,total_games_with_card,draw,draw_ai_central,draw_business_contacts_keep,draw_business_network_buy,draw_convoy_from_europa,draw_development_center,draw_draft_buy,draw_invention_contest_keep,draw_inventors_guild_buy,draw_inventrix,draw_lagrange_observatory,draw_large_convoy,draw_mars_university,draw_martian_survey,draw_olympus_conference,draw_placement,draw_placement_23_Ascraeus,draw_placement_58,draw_placement_61,draw_placement_68,draw_placement_82,draw_point_luna,draw_prelude,draw_prelude_biolabs,draw_prelude_io_research_outpost,draw_prelude_research_network,draw_prelude_unmi_contractor,draw_research,draw_restricted_area,draw_reveal_plant_tag,draw_reveal_space_tag,draw_sf_memorial,draw_start,draw_technology_demonstration,business_contacts_draw,business_network_draw,draft_1,draft_2,draft_3,draft_4,draft_unknown,invention_contest_draw,inventors_guild_draw,research_draft_drafted,research_draft_not_drafted,reveal,reveal_microbe,reveal_plant,reveal_space,other,other_activate,other_activation_effect,other_add_animal,other_add_microbe,other_add_science,other_copy_production_box,other_immediate_effect,other_move_resource,other_opponent_play,other_place_card,other_place_city,other_place_gain,other_place_lava_and_ocean,other_remove_animal,other_remove_microbe,other_remove_science,other_scoring,other_starting_hand,other_takeback,other_takeback_buy,other_takeback_draft,other_takeback_start,other_takeback_undo,other_triggered_effect
Fusion Power,16707,6474,0,196,48,39,22,121,1131,18,36,9,19,42,156,14,74,0,31,27,26,26,84,64,0,7,4,11,5,46,138,0,0,12,306,65,118,126,305,608,1001,759,0,78,136,1304,1655,0,20,122,43,0,0,0,0,0,0,37,339,0,0,0,0,0,0,0,0,0,0,11,0,16,29,11,0,0
Ganymede Colony,16707,6109,0,207,60,57,17,117,1383,30,59,10,17,37,175,18,75,0,32,28,17,23,71,50,0,12,4,16,9,35,148,0,55,12,415,42,101,123,1358,649,431,247,0,83,108,1785,1215,0,28,126,0,0,0,0,0,0,0,0,0,0,1,0,1666,0,0,0,0,0,2010,2,0,16,24,22,0,0
Gene Repair,16707,6523,0,193,74,93,22,119,2111,43,81,13,15,31,157,13,66,0,27,25,23,19,98,40,0,10,4,20,4,38,131,0,0,8,374,52,110,133,813,945,779,322,0,89,116,1592,1516,0,27,112,60,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0,5,0,33,32,22,0,0
Geothermal Power,16707,6906,0,197,29,26,21,121,1167,11,28,10,24,31,150,18,76,0,26,27,18,23,91,46,0,8,3,11,5,36,135,0,0,14,637,45,105,122,306,655,1006,838,0,74,126,1311,1707,0,22,110,62,0,0,0,0,0,0,40,27,0,2,0,0,0,0,0,0,0,0,4,0,19,23,40,0,0
GHG Factories,16707,7043,0,212,33,18,17,117,1162,16,31,12,17,38,171,12,74,0,33,27,24,19,72,46,0,16,2,17,11,39,135,0,0,10,639,60,98,113,352,633,946,995,0,81,124,1297,1681,0,23,113,68,0,0,0,0,0,0,41,47,0,2,0,0,0,0,0,0,0,0,6,0,13,31,33,0,0
GHG Producing Bacteria,16707,6913,0,187,27,38,23,110,1403,9,36,16,23,42,149,17,66,0,32,29,25,17,88,46,0,12,2,13,6,47,125,0,0,9,273,45,79,138,290,629,1114,1248,0,66,113,1402,1637,0,31,110,64,0,7809,0,0,2298,0,0,0,20,1,0,0,0,0,0,3313,0,0,6,0,15,19,7,0,0
Giant Ice Asteroid,16707,6601,0,223,100,112,24,107,3214,64,103,9,16,42,165,20,83,0,27,34,31,19,76,61,0,12,2,14,9,51,141,0,60,10,742,56,119,138,2523,791,150,124,0,89,131,2670,369,0,26,111,0,0,0,0,0,0,0,0,1338,0,1,0,0,0,0,0,0,0,0,4,0,32,33,45,0,0
Giant Space Mirror,16707,6791,1,190,26,27,13,101,875,14,27,11,28,37,157,11,84,0,21,23,21,17,58,53,0,16,1,14,6,46,117,0,45,13,505,48,110,144,249,529,1048,933,0,82,154,1295,1752,0,28,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,23,20,0,0
Grass,16707,6825,0,211,61,85,22,115,2641,36,76,3,22,30,169,18,83,0,31,31,26,16,80,43,0,14,4,16,9,45,133,130,0,9,591,39,96,112,747,1070,884,447,0,84,108,1629,1313,0,23,0,51,0,0,0,0,0,0,0,1165,0,1,0,0,0,0,0,0,0,0,8,0,21,24,16,0,0
Great Dam,16707,6494,0,200,30,35,18,99,1015,12,48,12,24,34,179,13,64,0,28,34,24,23,94,54,0,10,1,13,12,41,127,0,0,15,164,67,92,120,200,540,1078,996,0,76,131,1278,1728,0,20,112,54,0,0,0,0,0,0,11,107,0,0,0,0,0,0,0,0,0,0,6,0,10,30,6,1,0
Great Escarpment Consortium,16707,6651,0,179,38,55,19,97,1018,21,40,21,25,39,157,17,65,0,23,36,19,24,90,48,0,6,1,18,11,42,140,0,0,9,474,45,105,141,441,498,679,903,0,75,113,1120,1880,0,23,120,67,0,0,0,0,0,0,0,1223,0,0,0,0,0,0,0,0,0,0,6,0,13,21,19,0,0
Greenhouses,16707,7003,0,202,58,104,16,107,3133,33,99,3,22,42,152,16,72,0,21,16,26,27,91,35,0,9,4,16,7,51,142,137,0,8,613,49,84,117,900,1113,972,501,0,76,110,1869,1165,0,17,0,67,0,0,0,0,0,0,0,1352,0,2,0,0,0,0,0,0,0,0,4,0,29,27,18,0,0
Hackers,16707,6626,0,204,10,20,17,110,464,3,13,10,16,45,154,18,70,0,21,26,24,29,73,45,0,14,4,13,4,35,148,0,0,14,348,55,89,137,109,246,610,1324,0,67,103,719,2247,0,30,116,53,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,6,0,2,18,12,0,0
Heather,16707,7068,0,215,59,93,27,115,2838,28,84,7,26,33,146,15,73,0,35,23,22,24,90,53,0,7,1,18,6,49,129,146,0,13,573,52,92,123,601,1022,1125,588,0,82,109,1725,1329,0,33,0,67,0,0,0,0,0,0,0,1268,0,1,0,0,0,0,0,0,0,0,2,0,27,25,15,0,0
Heat Trappers,16707,7186,0,172,35,35,17,114,1357,26,31,7,19,51,139,17,67,0,28,33,29,28,96,46,0,10,2,8,4,38,151,0,0,7,662,43,92,109,623,779,937,1018,0,88,113,1559,1460,0,22,107,49,0,0,0,0,0,0,153,941,0,0,0,0,0,0,0,0,0,0,6,0,15,22,23,0,0
Herbivores,16707,7033,0,181,72,114,18,122,3299,57,90,11,15,37,159,14,83,0,28,28,24,22,82,50,0,8,2,15,5,39,139,0,0,6,572,46,104,132,1171,1153,872,511,2,92,115,2041,975,0,32,115,57,0,0,0,22532,0,0,0,1225,56,0,0,0,0,0,468,0,0,1086,6,0,28,36,26,0,24437
Hired Raiders,16707,7094,1,209,66,118,27,124,3174,26,118,4,19,31,142,14,63,0,28,18,23,20,109,56,0,11,6,19,9,33,133,0,0,11,763,51,101,122,679,1154,990,460,0,60,121,1667,1295,0,24,112,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,37,38,26,0,0
House Printing,16707,5364,0,170,29,39,19,92,950,12,25,3,17,40,128,16,56,0,22,24,23,28,104,56,0,15,2,21,6,34,114,0,0,11,343,33,83,102,202,475,800,555,0,62,83,1002,1427,0,29,118,53,0,0,0,0,0,0,6,176,0,2,0,0,0,0,0,0,0,0,0,0,14,20,9,0,0
Ice Asteroid,16707,7022,0,221,77,88,14,107,2877,41,83,7,16,38,165,21,76,0,41,25,24,14,83,56,0,10,2,15,8,58,146,0,57,10,798,54,110,127,1601,1036,433,341,0,76,120,2031,974,0,27,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,27,35,0,0
Ice cap Melting,16707,7084,0,183,40,47,24,108,1432,15,41,11,25,43,137,19,73,0,28,27,15,26,84,52,0,7,2,9,2,32,124,0,0,12,85,64,100,117,266,469,947,1799,0,71,127,1211,1798,0,12,116,77,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,18,33,1,0,0
Immigrant City,16707,6081,1,194,59,97,26,97,1998,34,68,11,26,33,143,14,63,0,33,19,11,34,79,51,0,11,3,8,6,52,133,0,0,11,494,67,84,136,1045,727,428,202,0,75,107,1472,1460,0,23,116,58,0,0,0,0,0,0,0,2124,0,3,0,0,0,0,0,0,0,0,3,0,21,28,18,0,22897
Immigration Shuttles,16707,6259,0,213,33,34,16,129,587,20,22,10,26,30,151,20,78,0,36,29,29,19,78,43,0,7,3,20,2,41,130,0,54,11,285,43,98,118,336,402,652,776,0,86,96,988,2049,0,21,121,0,0,0,0,0,0,0,0,230,0,3,0,0,0,0,0,0,0,1503,8,0,4,26,13,0,0
Imported GHG,16707,6790,0,198,49,81,23,103,1958,23,59,10,29,36,159,15,84,0,38,36,23,28,77,46,0,7,4,19,7,46,135,0,53,9,530,57,92,138,491,814,1048,567,0,75,105,1537,1536,0,18,137,0,0,0,0,0,0,0,0,1139,0,1,0,0,0,0,0,0,0,0,10,0,23,29,28,0,0
Imported Hydrogen,16707,7088,0,201,79,121,28,104,3601,49,116,7,18,40,154,18,76,0,24,30,23,21,74,46,0,12,2,18,4,50,149,0,61,10,745,48,94,129,1842,1260,485,197,0,70,124,2325,775,0,16,136,0,0,0,0,0,0,0,0,2297,0,0,0,0,0,0,0,0,0,0,7,0,48,26,28,0,0
Imported Nitrogen,16707,6908,1,216,92,129,23,101,3113,47,113,5,19,39,161,12,61,0,21,26,31,17,75,59,0,7,2,19,2,47,161,0,65,14,630,39,116,142,1229,1187,710,309,0,81,123,1937,999,0,28,131,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,9,0,20,21,28,0,0
Import of Advanced GHG,16707,6746,0,211,44,55,26,97,1480,24,53,7,28,47,156,20,78,0,32,26,18,21,78,40,0,10,3,18,11,37,134,0,69,8,531,59,97,117,329,705,1016,687,0,89,116,1344,1693,0,27,110,0,0,0,0,0,0,0,0,890,0,1,0,0,0,0,0,0,0,0,8,0,17,24,23,0,0
Indentured Workers,16707,7393,1,212,66,95,25,107,3285,22,91,16,19,39,167,14,79,0,24,25,18,28,68,42,0,10,0,12,13,36,134,0,0,4,748,54,104,118,563,1106,1259,808,0,70,108,1821,1174,0,25,122,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,35,37,27,0,0
Industrial Center,16707,6777,0,183,68,83,26,110,2437,30,93,8,14,40,168,14,70,0,23,20,27,18,83,49,0,11,5,17,7,31,143,0,0,11,586,58,113,106,742,985,860,494,0,79,122,1600,1352,0,27,113,62,0,1503,19,0,0,0,0,0,0,3,3930,0,52,0,0,0,0,0,6,0,28,29,18,0,0
Industrial Microbes,16707,6616,0,175,47,33,27,92,1081,16,26,7,19,47,175,15,79,0,26,25,30,19,76,55,0,4,1,11,10,42,133,0,0,16,649,53,103,117,340,535,827,656,0,82,116,1167,1834,0,22,130,69,0,0,0,0,0,0,101,253,0,3,0,0,0,0,0,0,0,0,9,0,16,21,25,0,0
Insects,16707,6893,0,196,85,109,20,112,3597,59,92,13,13,48,164,18,62,0,25,25,24,18,86,49,0,8,6,7,8,45,161,0,0,15,768,48,98,123,1958,1201,402,185,1,89,103,2358,584,0,28,114,69,0,0,0,0,0,0,0,1234,0,1,0,0,0,0,0,0,0,0,10,0,31,32,23,0,0
Insulation,16707,6743,0,214,16,23,19,120,415,8,16,6,20,38,152,10,70,0,29,21,24,11,94,47,0,4,3,19,2,41,147,0,0,13,10,58,89,122,93,248,709,1778,0,72,123,802,2146,0,33,103,57,0,0,0,0,0,0,0,231,0,1,0,0,0,0,0,0,0,0,9,0,1,18,0,0,0
Interstellar Colony Ship,16707,6446,0,196,54,95,25,84,2146,30,97,7,18,43,175,18,78,0,35,28,20,28,83,63,0,10,4,12,10,38,108,0,80,11,275,58,86,132,861,860,877,569,0,77,114,1735,1228,0,32,108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,15,21,9,0,0
Invention Contest,16707,7042,0,195,78,115,19,117,3454,0,107,11,20,37,161,18,72,0,30,27,27,20,77,48,0,10,6,14,5,50,127,0,0,16,800,48,99,117,1141,1315,786,295,2,0,109,1925,1022,0,28,131,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,28,45,0,0
Inventors' Guild,16707,6569,0,191,65,79,24,114,2468,34,0,15,26,33,138,16,64,0,21,17,23,25,78,46,0,13,7,11,5,36,143,0,0,6,730,50,94,114,1432,990,545,257,0,70,0,1975,1033,0,21,129,54,0,24661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,34,26,0,0
Investment Loan,16707,7203,1,180,90,116,14,105,3530,48,102,14,22,43,151,13,74,0,26,24,22,26,97,63,0,9,1,11,4,34,151,0,0,11,675,58,117,119,765,1237,1049,560,0,96,107,1809,1130,0,25,107,64,0,0,0,0,0,0,0,1091,0,0,0,0,0,0,0,0,0,0,5,0,32,60,29,0,0
Io Mining Industries,16707,6139,0,196,42,54,23,93,1168,26,37,14,15,51,152,12,89,0,36,26,32,16,78,48,0,6,5,21,10,33,142,0,62,13,618,49,103,132,1320,464,278,291,2,88,119,1596,1351,0,22,132,0,0,0,0,0,0,0,0,442,0,1,0,0,0,0,0,0,0,2145,8,0,17,22,24,0,0
Ironworks,16707,6867,0,201,1,13,18,100,314,5,15,11,20,44,168,16,75,0,35,24,24,25,75,52,1,9,3,15,8,44,140,0,0,10,103,56,91,106,108,244,777,1763,0,75,123,885,2108,0,17,130,50,0,1964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,6,19,0,0,0
Kelp Farming,16707,6939,0,194,85,120,17,123,3656,66,106,16,16,35,187,20,58,0,28,33,22,19,83,50,0,9,1,17,7,51,172,123,0,14,782,52,92,125,2192,1141,317,123,0,89,114,2506,525,0,38,0,58,0,0,0,0,0,0,0,1581,0,3,0,0,0,0,0,0,0,0,11,0,39,34,33,0,0
Lagrange Observatory,16707,6621,0,176,66,96,20,122,2452,48,76,14,0,41,151,15,65,0,26,27,22,38,79,49,0,9,0,15,4,43,155,0,49,6,634,54,98,118,920,1058,708,239,0,89,94,1626,1344,0,22,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,27,34,25,0,0
Lake Marineris,16707,7105,1,200,49,66,18,102,2259,27,65,13,25,32,144,10,72,0,30,28,27,18,83,43,0,15,3,20,4,41,145,0,0,20,392,63,94,133,658,781,976,1215,0,77,126,1633,1301,0,23,131,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,34,42,11,0,0
Land Claim,16707,6544,0,173,43,58,24,111,1014,13,48,11,29,30,150,15,65,0,32,24,22,25,73,36,1,11,2,19,10,40,118,0,0,9,43,50,108,127,192,538,1128,1219,0,83,125,1320,1700,0,31,111,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,27,1,0,0
Large Convoy,16707,6605,0,195,67,116,28,94,3095,53,124,9,19,0,160,12,78,0,47,31,18,28,91,53,0,11,1,9,3,44,128,0,53,9,726,55,82,122,1794,960,392,140,0,75,136,2183,869,0,26,113,0,0,0,0,0,0,0,0,1092,0,1,0,0,0,0,0,0,0,0,4,0,31,31,23,0,0
Lava Flows,16707,7004,0,213,53,67,24,90,2447,31,63,9,18,41,167,14,70,0,23,24,26,22,79,41,0,7,1,25,3,36,156,0,0,13,706,59,96,129,1027,1028,756,477,0,66,104,1780,1265,0,23,121,49,0,0,0,0,0,0,0,0,0,1,3644,0,189,89,0,0,0,0,5,0,22,43,27,0,0
Lava Tube Settlement,16707,5032,0,141,28,35,16,86,804,17,36,4,16,22,113,20,58,0,22,19,19,21,75,42,0,12,5,23,9,34,113,0,0,10,159,43,79,101,312,455,585,483,0,66,91,896,1592,0,19,114,56,0,0,0,0,0,0,0,801,0,1,0,0,0,0,0,0,0,0,0,0,3,16,3,0,0
Lichen,16707,6958,0,202,47,62,24,117,2049,20,56,5,17,33,183,19,78,0,33,23,21,30,77,49,0,2,3,18,7,39,160,113,0,17,617,54,97,143,451,891,1115,657,0,67,112,1564,1386,0,23,0,77,0,0,0,0,0,0,0,778,0,1,0,0,0,0,0,0,0,0,5,0,23,30,27,0,0
Lightning Harvest,16707,6179,0,229,41,37,22,114,915,14,36,12,27,46,162,10,72,0,28,20,20,22,75,52,0,6,7,14,12,43,128,0,0,8,137,43,99,116,172,500,955,872,0,79,109,1124,1786,0,18,110,60,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,7,0,14,22,5,0,0
Livestock,16707,6547,0,186,60,62,28,117,1534,20,52,5,19,30,155,15,75,0,28,27,18,21,70,52,0,4,6,11,5,38,142,0,0,8,145,55,120,126,404,712,1093,889,0,61,117,1497,1545,0,27,123,70,0,5019,0,2319,0,0,0,803,132,1,0,0,0,0,421,0,0,1571,7,0,21,22,6,0,0
Local Heat Trapping,16707,6625,0,218,53,78,17,115,1956,17,86,8,15,42,185,12,74,0,29,17,27,24,94,42,0,8,3,16,6,38,134,0,0,6,121,47,101,124,399,697,1100,979,0,73,136,1499,1521,0,20,118,61,0,0,0,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,7,0,15,18,5,0,0
Lunar Beam,16707,7037,0,209,22,24,21,118,818,19,11,11,20,44,174,24,80,0,26,24,24,42,98,53,0,5,3,14,5,46,138,0,0,14,516,48,95,121,208,471,933,1168,0,99,110,1140,1865,0,31,123,59,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,10,0,11,27,27,0,0
Magnetic Field Dome,16707,6692,0,200,22,19,22,110,408,4,22,9,21,42,161,21,65,0,21,19,34,29,79,48,0,7,4,16,11,33,137,0,0,8,7,59,98,123,53,214,756,1720,0,72,126,809,2175,0,23,117,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,20,1,0,0
Magnetic Field Generators,16707,6405,0,186,23,18,16,97,425,10,22,9,16,34,171,23,84,0,30,20,22,17,84,49,0,8,1,14,9,51,126,0,0,9,8,51,110,125,134,291,705,1407,0,82,104,838,2120,0,20,120,58,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,6,0,7,19,1,0,0
Mangrove,16707,7276,1,220,52,90,20,126,3497,30,101,11,17,37,163,18,72,0,22,21,26,19,75,47,0,15,1,16,12,44,132,111,0,14,528,65,74,101,782,1138,1189,876,0,77,122,1967,1012,0,29,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,31,26,16,0,0
Mars University,16707,6410,0,182,82,98,22,120,3581,68,96,5,19,44,0,13,59,0,15,27,26,18,82,27,0,11,1,14,6,42,143,0,0,11,761,49,89,109,2477,1022,148,83,0,77,102,2621,427,0,19,113,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,67,17,40,0,29272
Martian Rails,16707,6479,0,175,19,13,18,111,280,5,17,10,21,30,151,10,83,0,29,26,9,24,94,42,0,14,3,11,3,49,139,0,0,14,17,62,117,122,76,185,537,1554,0,82,113,611,2364,0,24,118,47,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,22,1,0,0
Martian Survey,16707,5791,0,146,29,36,15,87,925,16,34,9,22,37,123,0,66,0,18,23,16,24,74,38,0,9,2,11,5,41,126,0,0,13,385,38,77,97,287,402,507,1077,0,64,103,794,1661,0,13,113,64,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,12,12,0,0
Mass Converter,16707,6692,0,184,84,103,20,109,2710,61,97,11,11,33,162,13,60,0,32,22,30,29,83,53,0,6,1,14,6,37,137,0,0,13,693,51,104,122,1737,1027,376,174,0,93,116,2109,916,0,20,129,70,0,0,0,0,0,0,0,1105,0,1,0,0,0,0,0,0,0,0,6,0,30,33,21,0,0
Media Archives,16707,6723,0,198,65,101,25,110,2360,38,99,10,24,52,156,23,80,0,35,25,30,19,92,46,0,3,3,17,10,30,141,0,0,17,296,43,102,124,470,788,1110,856,0,91,122,1578,1371,0,20,112,76,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,11,0,29,31,10,0,0
Media Group,16707,7020,0,204,98,102,20,129,3296,65,99,12,18,35,158,9,67,0,32,26,25,26,87,48,0,16,2,10,6,40,158,0,0,12,722,51,114,113,1747,1173,468,231,0,85,117,2213,855,0,26,120,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,31,37,28,0,52820
Medical Lab,16707,6372,0,190,63,90,21,102,2324,37,95,9,25,34,154,18,54,0,27,26,26,16,81,38,0,7,6,19,4,42,129,0,0,6,665,65,85,119,1413,861,444,154,0,72,114,1854,1135,0,24,134,58,0,0,0,0,0,0,212,1177,0,2,0,0,0,0,0,0,0,0,2,0,18,17,18,0,0
Methane From Titan,16707,6424,0,192,56,51,24,103,1527,25,42,12,25,36,162,5,65,0,29,35,26,26,88,44,0,5,4,23,10,38,139,0,57,11,494,62,111,132,914,857,623,361,0,76,111,1535,1384,0,20,122,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,9,0,26,39,22,0,0
Micro-Mills,16707,7082,0,187,6,4,20,115,186,6,3,11,18,25,153,17,85,0,28,24,29,19,102,50,1,9,5,14,7,54,122,0,0,8,77,36,88,117,11,50,485,2118,0,74,121,496,2594,0,29,123,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,9,4,0,0
Mine,16707,6903,0,190,50,49,23,101,1640,23,48,8,13,39,176,20,66,0,23,21,26,26,83,51,0,6,4,21,7,37,119,0,0,11,786,47,105,117,432,607,915,742,0,78,122,1345,1691,0,26,109,57,0,0,0,0,0,0,16,20,0,1,0,0,0,0,0,0,0,0,3,0,19,39,29,0,0
Mineral Deposit,16707,6999,0,232,81,102,13,110,2777,36,85,9,21,43,140,12,75,0,28,21,17,18,73,62,0,7,2,14,6,49,145,0,0,17,728,58,123,123,588,1000,1020,476,0,87,95,1605,1406,0,22,101,61,0,0,0,0,0,0,0,699,0,2,0,0,0,0,0,0,0,0,4,0,42,43,26,0,0
Mining Area,16707,6845,0,208,76,80,19,133,2479,38,87,11,17,45,146,19,78,0,26,22,26,22,94,41,0,5,2,15,9,42,131,0,0,15,780,47,107,111,992,938,675,397,0,83,117,1664,1281,0,24,110,63,0,0,0,0,0,0,24,43,0,1,0,0,0,0,0,0,0,0,6,0,21,36,35,0,0
Mining Expedition,16707,6385,0,231,34,37,34,105,1072,12,42,9,25,36,155,8,71,0,31,28,34,28,86,49,0,5,3,14,7,52,165,0,0,11,145,48,93,129,395,631,969,730,0,80,108,1364,1667,0,25,130,51,0,0,0,0,0,0,0,1849,0,2,0,0,0,0,0,0,0,0,6,0,12,22,4,0,0
Mining Rights,16707,6560,0,214,70,84,23,102,2231,45,79,12,19,41,155,14,74,0,25,25,19,23,87,39,0,15,3,19,5,42,140,0,0,12,764,49,101,121,1117,779,562,305,1,81,107,1677,1263,0,21,130,51,0,0,0,0,0,0,59,68,0,3,0,0,0,0,0,0,0,0,11,0,22,29,26,0,0
Miranda Resort,16707,6191,1,191,75,87,10,117,1608,27,56,13,23,37,163,18,67,0,27,21,29,25,86,47,0,5,6,14,4,48,141,0,72,10,396,53,113,122,1021,786,517,299,0,77,98,1537,1398,0,22,114,0,0,0,0,0,0,0,0,366,0,1,0,0,0,0,0,0,0,0,6,0,12,33,25,0,0
Mohole Area,16707,6999,0,193,29,34,25,106,1340,16,28,10,22,41,160,11,92,0,24,29,16,30,93,53,0,6,2,10,6,34,141,0,0,20,730,58,93,119,627,686,792,765,0,71,125,1419,1592,0,24,129,64,0,0,0,0,0,0,152,296,0,1,2400,0,52,0,0,0,0,0,11,0,11,30,24,0,0
Moss,16707,6991,0,218,60,74,22,127,2320,33,80,8,22,33,141,25,60,0,35,19,16,21,72,57,0,13,1,13,14,48,145,120,0,12,580,56,112,121,452,888,1143,709,0,86,131,1593,1385,0,23,0,70,0,0,0,0,0,0,0,906,0,1,0,0,0,0,0,0,0,0,7,0,20,31,15,0,0
Natural Preserve,16707,7207,0,176,37,56,24,93,1976,25,53,10,21,33,168,15,73,0,30,19,26,24,93,46,0,5,1,15,13,33,154,0,0,16,778,51,81,137,1010,682,351,1024,0,72,98,1359,1624,0,24,128,66,0,0,0,0,0,0,5,597,0,2,3421,0,115,0,0,0,0,0,10,0,13,20,23,0,0
Nitrite Reducing Bacteria,16707,6677,0,178,18,9,21,131,327,5,16,9,14,37,137,14,80,0,29,33,27,20,95,47,0,8,5,17,11,40,150,0,0,11,92,44,101,124,62,234,836,1587,0,77,109,898,2095,0,20,122,59,0,3290,753,0,1067,0,0,0,0,0,0,0,0,0,0,1044,0,0,11,0,2,12,1,0,0
Nitrogen-Rich Asteroid,16707,6661,0,212,86,137,20,114,3534,68,119,6,21,45,177,13,92,0,22,26,21,17,74,51,0,11,2,17,9,37,143,0,56,16,795,57,100,145,2532,945,114,71,0,85,139,2639,329,0,28,128,0,0,0,0,0,0,0,0,1523,0,1,0,0,0,0,0,0,0,0,3,0,22,16,20,0,0
Nitrophilic Moss,16707,6830,1,204,55,56,19,102,2263,41,67,8,15,39,178,17,81,0,26,24,26,14,79,45,0,10,0,15,4,45,130,139,0,10,640,62,101,101,696,964,907,477,0,93,108,1600,1375,0,29,0,53,0,0,0,0,0,0,0,738,0,1,0,0,0,0,0,0,0,0,6,0,26,29,25,0,0
Noctis City,16707,6480,0,218,56,103,25,110,2571,43,93,10,18,45,158,21,56,0,22,23,28,24,89,51,0,7,3,20,6,41,139,0,0,9,762,58,70,114,1375,816,479,172,0,73,102,1853,1132,0,27,110,68,0,0,0,0,0,0,7,2,0,1,0,3876,0,0,0,0,0,3212,9,0,18,21,24,0,0
Noctis Farming,16707,6927,0,210,65,80,23,112,2820,36,94,6,15,43,168,12,83,0,28,19,28,23,103,32,0,11,4,10,7,48,132,129,0,5,542,52,101,107,670,1064,1051,523,0,85,125,1719,1255,0,25,0,77,0,0,0,0,0,0,2,1408,0,2,0,0,0,0,0,0,0,0,5,0,39,33,17,0,0
Nuclear Power,16707,6796,0,200,27,20,23,122,717,10,16,6,23,37,148,12,71,0,27,28,20,22,86,51,0,7,6,19,6,49,141,0,0,10,353,47,91,129,151,478,1047,1194,0,88,106,1195,1769,0,33,136,63,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,5,0,4,19,3,0,0
Nuclear Zone,16707,7060,0,198,67,90,19,119,3135,40,80,11,19,32,175,15,83,0,33,24,29,23,92,57,0,6,4,7,7,36,155,0,0,12,795,59,104,119,1513,1201,513,296,0,78,109,2024,931,0,22,109,57,0,0,0,0,0,0,0,0,0,1,4973,0,104,0,0,0,0,0,6,0,46,35,30,0,0
Olympus Conference,16707,6529,0,186,71,120,22,103,2996,46,90,8,20,42,163,20,0,0,29,18,25,28,95,39,0,6,2,18,4,43,141,0,0,11,765,55,86,128,1981,946,260,112,0,70,98,2238,813,0,24,112,58,0,0,0,0,0,12402,0,0,10,0,0,0,0,0,0,0,14777,0,4,0,22,34,24,0,26143
Open City,16707,6760,0,195,64,90,17,120,2169,24,84,16,23,35,173,22,71,0,28,23,21,25,75,54,0,6,2,18,4,38,126,0,0,8,178,53,117,125,661,789,1079,896,0,78,136,1739,1353,0,19,119,60,0,0,0,0,0,0,8,248,0,1,0,0,0,0,0,0,0,0,4,0,30,24,10,0,0
Optimal Aerobraking,16707,7086,0,212,67,112,28,97,3220,33,103,9,33,45,152,10,72,0,27,23,20,23,82,57,0,10,2,15,4,42,153,0,58,15,739,56,93,137,1637,1253,536,231,0,62,121,2169,863,0,32,140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,23,44,24,0,27517
