card_name,total_games_analyzed,total_games_with_card,games_with_prelude,seen_count,drawn_count,played_count,win_rate_overall,elo_gain_overall,win_rate_when_seen,elo_gain_when_seen,win_rate_when_drawn,elo_gain_when_drawn,win_rate_when_bought_during_game,elo_gain_when_bought_during_game,win_rate_when_played,elo_gain_when_played,win_count_overall,win_count_when_seen,win_count_when_drawn,win_count_when_bought_during_game,win_count_when_played,avg_elo_overall,avg_elo_when_seen,avg_elo_when_drawn,avg_elo_when_bought_during_game,avg_elo_when_played,play_to_buy_during_game_rate,play_to_buy_overall_rate,play_to_draw_for_free_rate,play_per_option_rate,play_per_card_in_hand_rate,plays_when_bought_during_game,plays_when_bought_overall,plays_when_drawn_for_free,relative_win_rate_when_seen,relative_win_rate_when_drawn,relative_win_rate_when_bought_during_game,relative_win_rate_when_played,relative_elo_gain_when_seen,relative_elo_gain_when_drawn,relative_elo_gain_when_bought_during_game,relative_elo_gain_when_played,bayesian_win_rate_when_bought_during_game,bayesian_elo_gain_when_bought_during_game,original_win_rate_when_bought_during_game,original_elo_gain_when_bought_during_game,game_count_when_bought_during_game,bayesian_win_rate_when_played,bayesian_elo_gain_when_played,original_win_rate_when_played,original_elo_gain_when_played,game_count_when_played
Development Center,16707,6656,5443,6456,4698,4202,82.482,1.6777,82.5279,1.7029,84.2486,1.9619,83.5763,1.7217,83.8451,1.859,5490,5328,3958,2312,3529,584.9524,583.9179,585.5009,581.9475,586.6083,0.933,0.9418,0.7548,0.6509,0.8944,2575,3303,899,31.96,66.37,56.76,61.07,16.64,42.54,19.86,33.78,83.5763,1.7217,83.7681,1.7351,2760,83.8451,1.859,83.9838,1.8743,4202
Domed Crater,16707,6724,5546,6505,3562,2708,81.4099,1.6225,81.4297,1.6304,81.9764,1.68,80.273,1.4553,81.8728,1.6603,5474,5297,2920,1385,2219,586.3311,585.6314,590.6578,587.8836,590.4465,0.8882,0.8881,0.5175,0.4163,0.7602,1534,2072,636,9.99,20.93,-14.66,20.25,9.39,14.35,-9.06,13.3,80.273,1.4553,80.1969,1.4459,1726,81.8728,1.6603,81.9424,1.6695,2707
Dust Seals,16707,7294,5994,7073,1601,834,80.5731,1.5064,80.6164,1.5146,82.3235,1.802,82.8071,2.0448,83.3515,2.0602,5877,5702,1318,306,700,586.834,586.0513,586.9969,588.5726,594.235,0.8438,0.8585,0.3993,0.1179,0.5209,308,364,470,-6.27,27.87,58.11,60.06,-2.19,26.55,78.68,64.94,82.8071,2.0448,83.8356,2.3233,365,83.3515,2.0602,83.9329,2.1859,833
Earth Catapult,16707,6144,5009,5942,5104,4914,85.4329,2.5101,85.5436,2.5392,86.5596,2.6947,85.1079,2.4716,86.7395,2.7291,5249,5083,4418,2605,4274,582.1338,581.573,581.983,575.0229,581.8012,0.9869,0.9896,0.8812,0.827,0.9628,3011,3801,1113,92.27,112.59,89.03,120.92,100.27,115.82,99.64,124.11,85.1079,2.4716,85.3818,2.5329,3051,86.7395,2.7291,86.976,2.7776,4913
Earth Office,16707,7119,5825,6918,5098,4823,82.4414,1.7991,82.4371,1.7934,84.2487,2.0441,83.6348,1.8805,84.5284,2.0681,5869,5703,4295,2481,4084,584.9329,584.2772,585.8138,587.3439,586.2917,0.9601,0.966,0.8881,0.6972,0.9461,2842,3664,1159,30.14,66.37,57.75,74.95,25.69,50.76,36.72,55.37,83.6348,1.8805,83.8176,1.9037,2959,84.5284,2.0681,84.6776,2.0902,4822
Ecological Zone,16707,6954,5656,6870,6102,5820,82.4418,1.6294,82.4891,1.6459,83.1367,1.6401,82.6212,1.5298,82.9545,1.5929,5733,5667,5073,3219,4832,584.8388,584.5556,587.3396,584.6966,587.8431,0.9576,0.9576,0.9416,0.8472,0.9538,3727,4449,1371,31.18,44.13,35.56,41.88,10.94,10.36,-0.7,5.83,82.6212,1.5298,82.7081,1.5295,3892,82.9545,1.5929,83.0241,1.5948,5819
Electro Catapult,16707,6769,5576,6557,3774,3047,81.6369,1.6505,81.6532,1.6613,82.4059,1.7334,80.1549,1.3088,82.9953,1.7577,5526,5354,3110,1422,2533,585.5379,584.203,583.0951,576.5276,583.0348,0.9403,0.9458,0.5385,0.4647,0.8074,1670,2355,692,14.46,29.52,-17.25,44.02,12.48,19.69,-25.33,23.57,80.1549,1.3088,80.0676,1.2832,1775,82.9953,1.7577,83.1309,1.7722,3047
Energy Saving,16707,6718,5525,6492,1432,288,80.0238,1.4153,80.0524,1.4339,82.9609,1.8939,79.167,1.5586,82.1435,1.7342,5376,5197,1188,173,239,585.2946,584.2452,577.7402,560.4215,565.7569,0.5426,0.5435,0.1356,0.0444,0.2011,121,125,163,-17.55,40.62,-67.03,41.12,-10.26,35.74,4.2,33.5,79.167,1.5586,77.5785,1.5785,222,82.1435,1.7342,82.9861,1.8715,288
Energy Tapping,16707,7249,5996,7069,3589,2542,81.2802,1.5041,81.3411,1.5124,82.1956,1.7002,80.5839,1.4335,81.9789,1.6324,5892,5750,2950,1337,2086,589.1021,588.5408,591.667,592.1801,592.0803,0.8247,0.8396,0.4551,0.3596,0.7083,1369,1984,558,8.22,25.31,-7.76,22.63,-2.41,16.37,-11.54,10.35,80.5839,1.4335,80.5422,1.4211,1659,81.9789,1.6324,82.0614,1.64,2541
Eos Chasma National Park,16707,6535,5390,6454,3994,2875,81.5761,1.5715,81.5928,1.5872,82.0481,1.688,80.3966,1.3619,80.2882,1.4944,5331,5266,3277,1918,2307,586.1376,585.8923,589.814,589.5019,586.8108,0.7512,0.7514,0.6614,0.4455,0.7198,1793,1947,928,13.25,22.36,-11.56,-13.73,5.07,15.15,-18.92,-4.5,80.3966,1.3619,80.3519,1.3473,2387,80.2882,1.4944,80.2435,1.4915,2874
Equatorial Magnetizer,16707,6950,5702,6751,1554,568,80.9928,1.5561,81.0695,1.5695,83.462,1.9575,82.6057,1.7524,82.5332,1.7607,5629,5473,1297,328,472,582.715,582.1618,582.4241,593.4962,585.287,0.6412,0.6441,0.2693,0.0841,0.3655,252,257,311,2.79,50.64,50.61,43.37,3.3,42.1,32.61,30.33,82.6057,1.7524,83.4606,1.8626,392,82.5332,1.7607,83.0986,1.8398,567
Extreme-Cold Fungus,16707,6744,5525,6558,1816,715,80.7384,1.61,80.6496,1.5863,82.5991,2.0754,79.212,1.7088,81.1869,1.9916,5445,5289,1500,395,581,582.3115,582.1418,573.5149,560.0775,560.2993,0.7873,0.7801,0.1875,0.109,0.3937,396,493,222,-5.61,33.38,-48.03,6.57,4.98,53.89,24.08,58.24,79.212,1.7088,78.5288,1.7773,503,81.1869,1.9916,81.2587,2.1189,715
Farming,16707,6626,5429,6541,4244,2930,81.3764,1.5459,81.4554,1.5641,81.951,1.5024,80.6017,1.38,80.2831,1.2164,5392,5328,3478,2070,2351,585.9108,586.0208,590.9654,586.4905,588.9925,0.7166,0.7167,0.6334,0.4479,0.6904,1841,2080,850,10.51,20.42,-7.08,-13.82,2.76,-3.41,-16.87,-34.2,80.6017,1.38,80.5761,1.3678,2568,80.2831,1.2164,80.2389,1.1945,2930
Fish,16707,6815,5599,6610,4849,3598,82.4652,1.671,82.3752,1.6626,83.1305,1.6232,83.1045,1.5862,81.6709,1.3121,5620,5445,4031,2613,2940,584.6034,583.9401,588.3953,587.3195,586.3835,0.7455,0.746,0.7302,0.5443,0.742,2340,2705,893,28.9,44.01,46.26,15.64,12.61,8.67,5.29,-23.69,83.1045,1.5862,83.2431,1.5894,3138,81.6709,1.3121,81.7121,1.2996,3597
Flooding,16707,7326,5989,7109,4549,3896,81.7909,1.5917,81.9525,1.6272,82.6555,1.6997,82.2236,1.4996,83.1265,1.7904,5992,5826,3760,2133,3243,583.2468,582.3406,581.8048,578.4678,581.605,0.9251,0.9367,0.6398,0.548,0.8565,2397,3109,787,20.45,34.51,27.87,46.18,9.07,16.32,-3.98,26.69,82.2236,1.4996,82.3234,1.4967,2591,83.1265,1.7904,83.2392,1.8034,3896
Food Factory,16707,6394,5265,6186,1606,618,80.8727,1.546,80.8923,1.5435,82.4408,1.8219,79.4736,1.6374,80.7897,1.4124,5171,5004,1324,311,499,584.6042,584.2307,578.2422,565.5646,571.8608,0.6557,0.6807,0.277,0.0999,0.3848,259,292,326,-0.76,30.21,-43.92,-3.72,0.7,28.54,15.21,-16.43,79.4736,1.6374,78.7342,1.6886,394,80.7897,1.4124,80.7443,1.3722,618
Fueled Generators,16707,7259,5966,7039,3190,2189,81.4162,1.5097,81.5315,1.5396,81.3793,1.4589,80.5625,1.2522,80.1113,1.3521,5910,5739,2596,1136,1752,585.8935,584.9729,587.7533,593.1467,591.4244,0.8016,0.826,0.4523,0.311,0.6862,1131,1647,541,12.03,8.98,-8.4,-17.87,0.31,-7.76,-32.46,-20.12,80.5625,1.2522,80.5103,1.2119,1410,80.1113,1.3521,80.0365,1.3353,2189
Fuel Factory,16707,6767,5588,6577,3326,2647,81.2029,1.645,81.2529,1.6755,82.4414,1.8277,79.4814,1.4137,81.7654,1.7564,5495,5344,2742,1055,2166,584.1707,583.1096,578.9549,564.7077,575.5773,0.9354,0.9468,0.5477,0.4025,0.7959,1245,1958,689,6.46,30.23,-33.33,17.97,13.9,29.12,-14.13,23.65,79.4814,1.4137,79.2637,1.3952,1331,81.7654,1.7564,81.8285,1.773,2646
Fusion Power,16707,6474,5314,6289,2777,1662,80.553,1.4665,80.601,1.4756,81.1667,1.7591,78.9377,1.5599,80.014,1.5834,5215,5069,2254,948,1328,586.0232,585.163,578.8963,572.3425,576.0397,0.7653,0.7758,0.3866,0.2643,0.5985,923,1173,489,-6.58,4.73,-46.46,-20.53,-6.09,22.26,2.73,5.25,78.9377,1.5599,78.607,1.5638,1205,80.014,1.5834,79.9037,1.589,1662
Ganymede Colony,16707,6109,4990,5955,3231,1672,81.7155,1.6384,81.8472,1.6667,83.0084,1.9331,82.04,1.9042,81.0823,1.8159,4992,4874,2682,1232,1356,584.5304,584.1852,583.4664,575.1701,576.9575,0.6271,0.6139,0.3774,0.2808,0.5175,940,1175,497,18.34,41.57,25.16,3.41,13.02,39.66,41.68,31.28,82.04,1.9042,82.1881,1.9533,1499,81.0823,1.8159,81.1005,1.8493,1671
Gene Repair,16707,6523,5378,6324,3904,3247,81.113,1.5703,81.0089,1.5629,82.2746,1.8904,81.4431,1.7804,81.9803,1.8675,5291,5123,3212,1862,2664,585.0823,583.8798,584.2736,583.7737,583.5109,0.8508,0.8548,0.7823,0.5134,0.8317,1944,2273,974,1.58,26.89,11.16,22.3,2.64,35.39,26.53,35.14,81.4431,1.7804,81.488,1.8018,2284,81.9803,1.8675,82.045,1.8879,3246
Geothermal Power,16707,6906,5699,6712,3034,2051,81.4075,1.6153,81.2872,1.5979,81.6084,1.6374,78.5971,1.0861,80.4025,1.5719,5622,5456,2476,955,1648,587.3228,586.683,587.5995,589.3735,591.5436,0.8452,0.8714,0.3665,0.3056,0.676,1032,1620,431,7.14,13.57,-54.31,-11.58,6.14,10.09,-52.42,3.88,78.5971,1.0861,78.2146,1.0123,1220,80.4025,1.5719,80.351,1.5753,2051
GHG Factories,16707,7043,5811,6839,3080,2058,80.3351,1.3764,80.2456,1.3705,80.6818,1.4532,80.0751,1.395,80.419,1.3806,5658,5488,2485,968,1654,588.0273,586.9775,586.6588,586.1173,587.3916,0.8489,0.8714,0.3626,0.3009,0.6682,1028,1612,446,-13.69,-4.97,-19.92,-11.22,-16.6,-8.33,-16.49,-17.11,80.0751,1.395,79.9339,1.3716,1211,80.419,1.3806,80.3693,1.3654,2057
GHG Producing Bacteria,16707,6913,5677,6709,2915,1954,81.1081,1.5721,81.2193,1.6011,82.47,1.8144,81.387,1.6167,81.702,1.6919,5607,5449,2404,1203,1598,587.5229,586.4782,599.446,603.4191,604.8613,0.8416,0.8417,0.4129,0.2913,0.6703,1243,1473,481,5.78,30.8,10.38,17.02,6.46,27.79,9.11,17.13,81.387,1.6167,81.4489,1.6276,1476,81.702,1.6919,81.781,1.7078,1953
Giant Ice Asteroid,16707,6601,5400,6464,5627,4990,84.7144,2.1368,84.7772,2.1304,85.8006,2.2404,85.2262,2.1706,86.2979,2.3444,5592,5480,4828,2931,4317,585.2686,585.1767,587.6145,583.7472,588.7926,0.9271,0.9341,0.7514,0.772,0.8868,3179,3896,1094,76.94,97.41,90.93,111.66,59.39,70.39,67.11,84.03,85.2262,2.1706,85.4768,2.2076,3429,86.2979,2.3444,86.513,2.3768,4990
Giant Space Mirror,16707,6791,5581,6634,2606,1598,80.5331,1.5516,80.4793,1.5418,81.2356,1.6757,77.9327,1.1765,79.5252,1.3828,5469,5339,2117,718,1268,583.3584,582.5324,579.4708,573.4973,579.2991,0.8299,0.857,0.3148,0.2409,0.6132,771,1229,369,-9.02,6.11,-72.85,-31.62,0.53,13.92,-43.75,-17.29,77.9327,1.1765,77.2874,1.099,929,79.5252,1.3828,79.3492,1.3636,1597
Grass,16707,6825,5599,6752,4789,4228,81.7289,1.6341,81.7091,1.641,82.5642,1.7202,81.0414,1.4781,82.3816,1.6972,5578,5517,3954,2271,3486,585.5487,585.346,586.4059,583.1527,585.3053,0.9086,0.9122,0.8116,0.6262,0.8829,2546,3095,1133,15.58,32.68,2.38,30.4,10.45,18.37,-6.26,16.83,81.0414,1.4781,81.0493,1.4739,2801,82.3816,1.6972,82.4503,1.7048,4228
Great Dam,16707,6494,5344,6308,2490,1480,81.0286,1.5561,81.0241,1.5556,81.6466,1.602,81.1911,1.6666,80.2893,1.6257,5262,5111,2033,892,1187,586.7271,585.9659,589.9454,588.1639,587.0216,0.7386,0.7369,0.4479,0.2346,0.5944,811,930,550,1.88,14.33,6.17,-14.55,1.91,6.55,15.38,10.13,81.1911,1.6666,81.2386,1.6903,1098,80.2893,1.6257,80.2027,1.6378,1480
Great Escarpment Consortium,16707,6651,5469,6441,2777,1764,80.7247,1.5246,80.562,1.5178,81.2027,1.569,78.7403,1.2188,81.0011,1.4238,5369,5189,2255,872,1429,583.1682,582.2237,580.7126,578.8509,582.466,0.8014,0.7725,0.4521,0.2739,0.6352,892,1226,538,-7.36,5.45,-51.67,1.58,-1.87,3.25,-37.48,-12.55,78.7403,1.2188,78.3468,1.1617,1113,81.0011,1.4238,81.0091,1.411,1763
Greenhouses,16707,7003,5770,6919,5311,4286,81.8364,1.6367,81.7893,1.6196,82.7339,1.6652,82.0945,1.5414,81.9184,1.523,5731,5659,4394,2741,3513,587.2526,587.337,590.2369,590.0549,590.0985,0.8112,0.8116,0.7937,0.6195,0.807,2706,3205,1081,17.18,36.08,24.68,20.69,8.31,12.87,0.52,-1.41,82.0945,1.5414,82.1643,1.5417,3335,81.9184,1.523,81.9645,1.5224,4286
Hackers,16707,6626,5459,6427,2007,1046,81.4519,1.6556,81.3754,1.6546,82.013,1.8844,79.4634,1.5614,80.7271,1.8301,5397,5230,1646,392,844,587.4846,586.553,585.5805,573.5312,578.2763,0.8491,0.8911,0.2522,0.1628,0.5212,422,753,293,8.91,21.66,-41.14,-4.84,11.81,34.79,3.49,34.97,79.4634,1.5614,78.8732,1.5714,497,80.7271,1.8301,80.6883,1.8862,1046
Heather,16707,7068,5811,6968,5000,4601,81.1969,1.4943,81.2572,1.5034,82.12,1.585,81.9552,1.5927,82.0008,1.5499,5739,5662,4106,2473,3775,586.0549,585.6985,584.651,583.743,584.3884,0.9327,0.9373,0.8768,0.6603,0.9202,2812,3363,1238,6.54,23.8,21.86,22.35,-3.31,4.85,5.99,1.4,81.9552,1.5927,82.0232,1.5964,3015,82.0008,1.5499,82.0474,1.5505,4600
Heat Trappers,16707,7186,5892,7008,3272,2021,81.1717,1.5301,81.1358,1.5304,81.8154,1.6858,81.1374,1.6435,81.9838,1.6723,5833,5686,2677,1155,1659,584.5459,583.7618,588.2039,584.4385,592.8456,0.7779,0.7453,0.3934,0.2884,0.6177,1107,1554,467,4.11,17.71,4.73,23.16,-0.61,14.93,12.2,14.93,81.1374,1.6435,81.1665,1.6585,1423,81.9838,1.6723,82.0881,1.6858,2020
Herbivores,16707,7033,5727,6829,5338,4434,81.2598,1.4988,81.2564,1.5102,81.4912,1.3994,81.2547,1.3147,81.0716,1.3171,5715,5549,4350,2847,3595,585.458,584.6364,590.0815,588.5455,590.9705,0.8507,0.8459,0.7815,0.6493,0.8306,2980,3447,987,6.53,11.22,6.86,2.96,-2.63,-13.71,-23.45,-22.93,81.2547,1.3147,81.2732,1.302,3502,81.0716,1.3171,81.078,1.3072,4434
Hired Raiders,16707,7094,5814,6903,5426,5327,81.5619,1.5505,81.6167,1.5492,82.3443,1.6443,81.5751,1.5151,82.1397,1.6179,5786,5634,4468,2783,4378,585.7153,585.2825,587.5767,586.2947,587.7531,0.983,0.9854,0.9697,0.7717,0.9818,3352,4112,1215,13.73,28.28,13.66,25.1,1.27,10.78,-2.27,8.45,81.5751,1.5151,81.6129,1.5138,3410,82.1397,1.6179,82.1851,1.621,5326
House Printing,16707,5364,5364,5165,2432,2006,80.2573,1.2006,80.2711,1.1886,80.7977,1.4527,77.2543,1.0505,80.0935,1.3469,4305,4146,1965,776,1605,605.0611,604.4139,597.0633,590.0799,595.5643,0.9132,0.9285,0.694,0.3884,0.8248,926,1260,746,-13.18,-2.65,-88.03,-18.4,-34.79,-8.38,-58.19,-20.85,77.2543,1.0505,76.5286,0.9546,1013,80.0935,1.3469,80.01,1.328,2005
Ice Asteroid,16707,7022,5764,6882,5232,4571,82.4124,1.7663,82.4906,1.7742,83.7156,1.9343,83.4932,1.8268,84.2561,1.955,5787,5677,4380,2550,3858,585.1447,584.7023,587.8972,587.1604,588.0245,0.9262,0.9368,0.6984,0.6642,0.8737,2823,3603,968,31.21,55.71,54.63,69.43,23.77,39.78,30.93,43.68,83.4932,1.8268,83.6614,1.8458,3048,84.2561,1.955,84.4017,1.9733,4570
Ice cap Melting,16707,7084,5821,6879,2767,1537,81.9029,1.694,82.0177,1.717,83.3755,2.0145,82.8407,1.9554,84.8506,2.208,5802,5642,2307,1263,1312,585.3845,584.0486,586.7951,586.302,586.0085,0.6724,0.6598,0.4114,0.2234,0.5555,1022,1059,478,21.75,48.91,43.24,88.62,18.05,47.8,47.4,75.89,82.8407,1.9554,83.0921,2.0105,1520,84.8506,2.208,85.3611,2.2954,1536
Immigrant City,16707,6081,5013,5884,3876,3462,79.5593,1.3393,79.5547,1.345,78.999,1.2454,77.5228,1.1153,78.1776,1.111,4838,4681,3062,1670,2701,582.965,581.663,583.7337,582.8507,583.4154,0.9311,0.933,0.8064,0.5884,0.8932,2014,2479,983,-27.51,-38.62,-74.45,-58.23,-19.15,-29.11,-46.02,-45.01,77.5228,1.1153,77.2076,1.0763,2162,78.1776,1.111,78.0185,1.0864,3461
Immigration Shuttles,16707,6259,5128,6117,2199,1217,80.0607,1.4579,80.1537,1.4852,81.4006,1.8731,76.6161,1.4168,80.4418,1.8584,5011,4903,1790,484,978,584.2777,584.1602,567.4507,529.7574,550.765,0.8212,0.847,0.3391,0.199,0.5534,528,786,431,-15.53,9.41,-113.16,-11.37,-5.13,33.66,-15.7,37.48,76.6161,1.4168,75.2722,1.3795,642,80.4418,1.8584,80.3615,1.9113,1217
Imported GHG,16707,6790,5558,6635,3942,3596,81.2371,1.5935,81.266,1.5962,81.9381,1.7453,82.1088,1.8904,82.0564,1.7148,5516,5392,3230,1725,2953,583.5242,582.8375,581.4944,580.9032,581.2592,0.9442,0.9475,0.8417,0.542,0.9122,1981,2490,1106,6.72,20.16,25.82,23.78,5.97,20.88,38.77,18.82,82.1088,1.8904,82.2212,1.9242,2097,82.0564,1.7148,82.119,1.7247,3596
Imported Hydrogen,16707,7088,5792,6936,5929,5551,82.6891,1.7144,82.771,1.7311,83.5891,1.7952,83.627,1.7673,83.4613,1.7394,5861,5741,4956,3215,4638,584.6591,583.8134,585.9787,584.5052,586.6891,0.9455,0.9527,0.8804,0.8003,0.9362,3629,4366,1185,36.82,53.18,56.75,52.45,19.46,25.87,24.28,21.02,83.627,1.7673,83.7676,1.7793,3837,83.4613,1.7394,83.5525,1.7467,5551
Imported Nitrogen,16707,6908,5653,6749,5347,3570,82.3972,1.6313,82.3529,1.6285,83.2616,1.6924,83.3434,1.5902,81.5347,1.3648,5692,5558,4452,2801,2912,586.6225,585.8023,587.9867,587.5159,584.5081,0.6796,0.6725,0.6535,0.529,0.6677,2280,2680,890,28.46,46.63,51.14,12.77,9.2,15.59,5.69,-18.13,83.3434,1.5902,83.4873,1.5934,3355,81.5347,1.3648,81.5686,1.3552,3570
Import of Advanced GHG,16707,6746,5526,6609,3421,2951,80.8776,1.4982,80.8897,1.5161,81.292,1.5797,81.3121,1.8654,81.3665,1.6479,5456,5346,2781,1292,2402,584.1356,583.6308,580.0295,572.5214,578.3277,0.9332,0.9396,0.7373,0.4465,0.8626,1482,1991,960,-0.81,7.24,8.6,9.32,-2.04,4.32,37.03,11.89,81.3121,1.8654,81.3602,1.9068,1588,81.3665,1.6479,81.3961,1.6554,2951
Indentured Workers,16707,7393,6049,7201,5454,5104,82.9569,1.786,82.9746,1.7931,83.6634,1.8794,83.7336,1.814,83.3872,1.8416,6133,5975,4563,2912,4261,586.9505,586.3151,591.7928,595.0369,592.1679,0.9476,0.9564,0.8648,0.7088,0.9358,3289,4035,1068,40.89,54.67,59.3,51.07,25.66,34.29,29.35,31.71,83.7336,1.814,83.8951,1.83,3471,83.3872,1.8416,83.4835,1.8536,5104
Industrial Center,16707,6777,5565,6575,4433,3929,81.1864,1.5575,81.1711,1.5597,82.134,1.6546,81.5449,1.518,81.5418,1.523,5502,5337,3641,2132,3205,587.2873,586.9427,594.8412,596.4795,595.2237,0.9085,0.9081,0.8298,0.5976,0.8863,2374,2905,1024,4.82,24.08,13.24,12.86,2.32,11.81,-1.99,-1.42,81.5449,1.518,81.592,1.5166,2613,81.5418,1.523,81.5729,1.5223,3929
Industrial Microbes,16707,6616,5470,6395,2989,2224,80.653,1.6218,80.7506,1.651,82.2683,1.9227,78.8705,1.5592,81.5949,1.897,5336,5164,2459,895,1816,585.7074,584.9554,582.3138,569.4886,577.9303,0.914,0.9385,0.4542,0.3478,0.7441,1042,1679,545,-3.59,26.76,-48.43,14.49,11.45,38.62,2.67,39.29,78.8705,1.5592,78.5088,1.5632,1139,81.5949,1.897,81.6547,1.9294,2223
Insects,16707,6893,5621,6682,5881,4976,82.591,1.6782,82.4753,1.6498,83.2852,1.6725,83.4382,1.6326,82.7252,1.5108,5693,5511,4898,3174,4120,583.1452,582.5195,585.6895,583.0795,586.1624,0.8515,0.857,0.8084,0.7447,0.8461,3234,3913,1063,30.9,47.1,52.8,37.35,11.33,13.6,10.12,-2.67,83.4382,1.6326,83.5703,1.6377,3798,82.7252,1.5108,82.7974,1.5098,4976
Insulation,16707,6743,5512,6550,1650,462,80.7059,1.5662,80.8397,1.5971,83.0303,1.8176,80.4068,1.0968,78.6798,0.8343,5442,5295,1370,364,359,584.6856,583.8264,586.6461,594.3414,597.2771,0.4648,0.4612,0.2091,0.0705,0.28,211,214,248,-1.81,42.0,-15.08,-64.49,6.06,28.11,-63.34,-100.62,80.4068,1.0968,80.1762,0.9031,454,78.6798,0.8343,77.7056,0.5303,462
Interstellar Colony Ship,16707,6446,5322,6306,3929,2133,81.601,1.5455,81.7317,1.5717,83.6091,1.903,82.8944,1.8173,80.7056,1.6002,5260,5154,3285,1942,1721,586.4915,585.8294,589.6409,588.089,583.834,0.5659,0.5549,0.519,0.3382,0.5429,1323,1450,683,16.03,53.58,42.65,-4.91,3.52,36.65,30.48,6.97,82.8944,1.8173,83.0624,1.8413,2338,80.7056,1.6002,80.6845,1.6062,2132
Invention Contest,16707,7042,5768,6839,5709,5645,82.2352,1.734,82.3951,1.7539,82.9567,1.7663,82.9943,1.7377,82.7692,1.7449,5791,5635,4736,3055,4676,587.2109,586.6564,588.7826,587.0277,588.6569,0.988,0.9897,0.9854,0.8254,0.9888,3632,4430,1215,29.3,40.53,43.53,38.09,21.74,22.98,21.21,21.58,82.9943,1.7377,83.1066,1.7486,3676,82.7692,1.7449,82.8344,1.7523,5644
Inventors' Guild,16707,6569,5384,6365,4478,3851,81.778,1.6269,81.7753,1.6394,82.0232,1.6809,81.1744,1.4635,81.5567,1.5942,5372,5205,3673,2068,3142,584.5805,583.4288,585.2423,580.2862,585.0699,0.9183,0.9289,0.6719,0.605,0.86,2339,3044,807,16.9,21.86,5.27,13.18,10.29,14.44,-7.87,6.07,81.1744,1.4635,81.1936,1.4578,2546,81.5567,1.5942,81.5892,1.5972,3850
Investment Loan,16707,7203,5945,7006,5715,5228,81.1329,1.5051,81.1305,1.5059,82.6247,1.6369,82.114,1.4542,82.3114,1.6416,5844,5684,4722,3080,4306,585.3733,584.552,588.3197,588.2946,588.0193,0.9098,0.9141,0.9164,0.7462,0.9148,3410,4043,1184,4.01,33.89,24.94,28.68,-3.06,10.04,-8.67,10.91,82.114,1.4542,82.1772,1.4498,3747,82.3114,1.6416,82.3642,1.6456,5227
Io Mining Industries,16707,6139,4983,5985,3167,2327,80.5506,1.4646,80.6683,1.4904,82.2545,1.7439,79.5656,1.3196,80.8809,1.5952,4945,4828,2605,999,1882,583.4664,582.5968,578.1367,566.2637,572.8174,0.9166,0.9334,0.4457,0.3888,0.7348,1154,1752,575,-5.24,26.49,-31.63,-1.07,-4.61,20.74,-25.14,6.38,79.5656,1.3196,79.3487,1.2851,1258,80.8809,1.5952,80.8767,1.6003,2326
Ironworks,16707,6867,5638,6670,1625,468,81.3893,1.5577,81.3793,1.5468,82.8923,1.936,81.155,1.8234,82.015,1.99,5589,5428,1347,278,386,585.0706,584.8537,581.7409,574.0088,576.9167,0.6988,0.7281,0.122,0.0702,0.288,239,324,144,8.98,39.24,7.13,30.97,1.03,39.95,45.47,64.73,81.155,1.8234,81.2865,1.9912,342,82.015,1.99,82.4786,2.1838,468
Kelp Farming,16707,6939,5631,6843,6162,5475,82.9658,1.7455,82.9461,1.7424,83.5605,1.7713,82.8971,1.6519,83.187,1.7199,5757,5676,5149,3222,4559,582.6766,582.5641,584.2506,579.3233,584.244,0.8977,0.9042,0.8398,0.8001,0.8885,3485,4217,1258,40.32,52.61,41.37,46.79,20.59,23.48,12.14,19.01,82.8971,1.6519,82.9985,1.6579,3881,83.187,1.7199,83.2694,1.7266,5475
Lagrange Observatory,16707,6621,5406,6480,4552,4125,81.0603,1.5995,81.0031,1.5877,81.6784,1.6736,80.5899,1.5295,81.0141,1.5346,5367,5249,3718,2114,3342,584.2962,583.9681,585.5079,583.6925,586.2189,0.9154,0.9159,0.8818,0.6366,0.9062,2402,2984,1141,1.46,14.97,-7.32,1.76,5.12,13.71,-0.75,-0.2,80.5899,1.5295,80.564,1.529,2624,81.0141,1.5346,81.0182,1.5345,4124
Lake Marineris,16707,7105,5823,6907,4015,2447,81.0274,1.5186,81.2364,1.5561,82.4907,1.6533,82.3498,1.5078,83.4477,1.7262,5757,5611,3312,1971,2047,583.7536,582.9608,588.1178,587.5381,585.4414,0.6774,0.6693,0.4745,0.3543,0.6095,1619,1862,585,6.13,31.21,30.77,54.47,1.96,11.68,-3.11,20.52,82.3498,1.5078,82.4686,1.5054,2390,83.4477,1.7262,83.6535,1.7417,2446
Land Claim,16707,6544,5348,6340,2299,1803,81.5403,1.6242,81.5615,1.63,83.2101,2.0357,83.0195,2.0358,82.0699,1.9732,5336,5171,1913,934,1482,584.0677,583.6071,586.5085,592.6509,588.3289,0.8455,0.8495,0.7174,0.2844,0.7843,947,988,815,12.63,45.6,49.26,25.32,9.35,49.92,58.85,48.51,83.0195,2.0358,83.3929,2.125,1119,82.0699,1.9732,82.1963,2.0216,1803
