card_name,total_games_analyzed,total_games_with_card,games_with_prelude,seen_count,drawn_count,played_count,win_rate_overall,elo_gain_overall,win_rate_when_seen,elo_gain_when_seen,win_rate_when_drawn,elo_gain_when_drawn,win_rate_when_bought_during_game,elo_gain_when_bought_during_game,win_rate_when_played,elo_gain_when_played,win_count_overall,win_count_when_seen,win_count_when_drawn,win_count_when_bought_during_game,win_count_when_played,avg_elo_overall,avg_elo_when_seen,avg_elo_when_drawn,avg_elo_when_bought_during_game,avg_elo_when_played,play_to_buy_during_game_rate,play_to_buy_overall_rate,play_to_draw_for_free_rate,play_per_option_rate,play_per_card_in_hand_rate,plays_when_bought_during_game,plays_when_bought_overall,plays_when_drawn_for_free,relative_win_rate_when_seen,relative_win_rate_when_drawn,relative_win_rate_when_bought_during_game,relative_win_rate_when_played,relative_elo_gain_when_seen,relative_elo_gain_when_drawn,relative_elo_gain_when_bought_during_game,relative_elo_gain_when_played,bayesian_win_rate_when_bought_during_game,bayesian_elo_gain_when_bought_during_game,original_win_rate_when_bought_during_game,original_elo_gain_when_bought_during_game,game_count_when_bought_during_game,bayesian_win_rate_when_played,bayesian_elo_gain_when_played,original_win_rate_when_played,original_elo_gain_when_played,game_count_when_played
Arctic Algae,16707,7127,5823,7043,4597,3962,82.0121,1.6408,82.1525,1.6607,83.7938,1.9002,83.713,1.8385,83.6583,1.8713,5845,5786,3852,2049,3320,585.0833,584.9615,586.734,585.0213,588.1123,0.966,0.9737,0.5981,0.5625,0.8619,2358,3142,820,24.45,57.27,60.22,57.32,12.42,36.37,32.67,35.17,83.713,1.8385,83.941,1.8632,2441,83.6583,1.8713,83.7961,1.8882,3961
Artificial Lake,16707,6826,5576,6628,2488,1485,81.2921,1.5063,81.1708,1.502,83.1994,1.8095,82.3433,1.8306,83.5525,1.8263,5549,5380,2070,1042,1246,582.6834,581.7115,584.0426,583.183,584.4323,0.7639,0.7618,0.4184,0.224,0.5969,964,985,500,4.81,45.39,32.75,59.51,-3.45,27.3,34.07,32.88,82.3433,1.8306,82.5674,1.8772,1261,83.5525,1.8263,83.9057,1.8653,1485
Artificial Photosynthesis,16707,6790,5565,6586,3568,2400,81.0751,1.5421,81.2026,1.5638,80.9417,1.5112,79.146,1.3229,79.4178,1.2455,5505,5348,2888,1334,1903,585.1003,584.1579,584.917,582.1189,585.2933,0.7994,0.8231,0.3882,0.3644,0.6726,1351,1921,479,5.45,0.23,-39.9,-32.77,2.73,-2.53,-23.89,-31.53,79.146,1.3229,78.9349,1.2976,1690,79.4178,1.2455,79.2917,1.2212,2399
Asteroid,16707,6764,5569,6617,5338,4987,81.298,1.5214,81.5173,1.5614,82.0157,1.5416,82.1318,1.5217,82.5498,1.6137,5499,5394,4378,2753,4120,586.4097,586.1348,587.6225,589.1657,588.1969,0.9492,0.9543,0.8712,0.7537,0.9342,3179,3864,1123,11.74,21.71,25.47,33.69,2.49,0.51,-1.57,8.03,82.1318,1.5217,82.2036,1.5208,3349,82.5498,1.6137,82.6148,1.6168,4986
Asteroid Mining,16707,6246,5110,6077,3198,2454,79.8751,1.3655,79.9737,1.3704,80.8005,1.651,78.5097,1.4605,80.7407,1.5445,4989,4860,2584,1015,1981,585.3708,584.9908,580.4681,565.923,576.4295,0.9215,0.9414,0.5093,0.4038,0.7674,1197,1798,656,-19.13,-2.59,-55.86,-4.1,-16.61,11.45,-8.77,0.87,78.5097,1.4605,78.137,1.4488,1299,80.7407,1.5445,80.7253,1.5452,2454
Asteroid Mining Consortium,16707,6228,5070,6018,3606,2652,81.1336,1.6606,81.1067,1.6637,82.1131,1.7704,79.6056,1.4808,82.3934,1.8483,5053,4881,2961,1400,2188,584.8234,583.9855,584.5105,575.8678,583.3612,0.8252,0.8176,0.5728,0.4407,0.7354,1454,1955,696,3.53,23.66,-29.5,31.47,12.72,23.39,-6.2,33.53,79.6056,1.4808,79.4552,1.4745,1761,82.3934,1.8483,82.5038,1.8718,2651
Beam From a Thorium Asteroid,16707,6388,5237,6243,2335,1277,80.6982,1.6132,80.6663,1.6061,80.2998,1.4463,77.8099,1.0415,78.0545,0.9989,5155,5036,1875,596,991,584.4197,584.0894,580.6732,566.7313,577.9319,0.8346,0.8336,0.2808,0.2045,0.5469,646,937,340,-5.28,-12.61,-78.55,-66.53,6.96,-9.02,-62.31,-62.19,77.8099,1.0415,77.0026,0.9134,773,78.0545,0.9989,77.6038,0.9146,1276
Big Asteroid,16707,6809,5613,6656,5580,5100,82.391,1.7354,82.497,1.7514,83.3692,1.8769,82.7017,1.7075,83.7143,1.9167,5610,5491,4652,2846,4275,585.5001,585.1442,585.76,583.9124,585.8678,0.9366,0.9396,0.8343,0.7662,0.914,3219,3967,1133,31.34,48.78,37.49,57.87,21.49,34.04,18.1,39.51,82.7017,1.7075,82.8048,1.7175,3436,83.7143,1.9167,83.8235,1.9316,5100
Biomass Combustors,16707,6852,5650,6663,2892,1799,81.655,1.5838,81.5699,1.5637,81.6736,1.5861,79.416,1.2427,80.6833,1.4589,5595,5435,2362,1135,1451,585.7805,584.9026,597.3001,605.1228,608.239,0.7934,0.7731,0.4194,0.27,0.6221,1137,1281,518,12.8,14.87,-34.51,-5.48,2.72,4.96,-33.48,-8.62,79.416,1.2427,79.2045,1.2017,1432,80.6833,1.4589,80.6559,1.4503,1799
Birds,16707,6828,5593,6624,4946,3309,82.147,1.6346,82.2464,1.6578,82.5516,1.6003,81.6527,1.4362,80.3038,1.3056,5609,5448,4083,2598,2656,586.1252,585.4307,591.8664,589.933,591.2702,0.683,0.6784,0.6424,0.4995,0.669,2172,2481,828,26.33,32.43,15.36,-13.28,12.13,6.38,-10.66,-24.49,81.6527,1.4362,81.6981,1.4299,3180,80.3038,1.3056,80.2659,1.2916,3309
